Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
signal transduction involved in DNA damage checkpoint (GO:0072422)	1/13	0.007774217207607984	1.0	0	0	128.20512820512823	622.6849367537166	CDC5L
signal transduction in response to DNA damage (GO:0042770)	1/25	0.014901244370148439	1.0	0	0	66.66666666666667	280.4207036495217	CDC5L
DNA damage checkpoint (GO:0000077)	1/38	0.02256922338610946	1.0	0	0	43.85964912280702	166.27930253802677	CDC5L
Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	1/133	0.07696516706764417	1.0	0	0	12.531328320802006	32.13536760934976	FCGR2A
Fc-gamma receptor signaling pathway (GO:0038094)	1/134	0.0775226944870714	1.0	0	0	12.437810945273633	31.805778027345028	FCGR2A
Fc receptor mediated stimulatory signaling pathway (GO:0002431)	1/135	0.07807991320183787	1.0	0	0	12.34567901234568	31.48175862388528	FCGR2A
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	1/236	0.13279603684942465	1.0	0	0	7.062146892655368	14.258057100186688	CDC5L
mRNA splicing, via spliceosome (GO:0000398)	1/261	0.14587182547128588	1.0	0	0	6.385696040868455	12.292636976956583	CDC5L
mRNA processing (GO:0006397)	1/283	0.1572287574408047	1.0	0	0	5.889281507656066	10.895485749962253	CDC5L
neutrophil degranulation (GO:0043312)	1/479	0.25246784592922106	1.0	0	0	3.4794711203897006	4.7893924190329935	FCGR2A
neutrophil activation involved in immune response (GO:0002283)	1/483	0.25430438987239856	1.0	0	0	3.4506556245686686	4.724718233711964	FCGR2A
neutrophil mediated immunity (GO:0002446)	1/487	0.25613679688855207	1.0	0	0	3.422313483915127	4.6613402271651365	FCGR2A
positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	1/848	0.4055072136889971	1.0	0	0	1.9654088050314467	1.7740106445943793	CDC5L
positive regulation of transcription, DNA-templated (GO:0045893)	1/1120	0.4992978623812392	1.0	0	0	1.4880952380952381	1.0335601826130703	CDC5L
regulation of transcription from RNA polymerase II promoter (GO:0006357)	1/1478	0.602093516378341	1.0	0	0	1.1276499774470006	0.5721047619718068	CDC5L
regulation of transcription, DNA-templated (GO:0006355)	1/1598	0.6319585101321006	1.0	0	0	1.0429703796412184	0.4786519978258195	CDC5L
