Status	GSM1666235	GSM1666236	GSM1666237	GSM1666238	GSM1666239	GSM1666240
Assigned	5172627	23491313	2900687	3155782	6066942	6080660
Unassigned_Unmapped	0	0	0	0	0	0
Unassigned_Read_Type	0	0	0	0	0	0
Unassigned_Singleton	0	0	0	0	0	0
Unassigned_MappingQuality	0	0	0	0	0	0
Unassigned_Chimera	0	0	0	0	0	0
Unassigned_FragmentLength	0	0	0	0	0	0
Unassigned_Duplicate	0	0	0	0	0	0
Unassigned_MultiMapping	0	0	0	0	0	0
Unassigned_Secondary	0	0	0	0	0	0
Unassigned_NonSplit	0	0	0	0	0	0
Unassigned_NoFeatures	9253110	41150415	7364604	20457539	29327611	29397882
Unassigned_Overlapping_Length	98915	489900	152881	275939	493022	492722
Unassigned_Ambiguity	0	0	0	0	0	0
