smallRNA	logFC_Tumour_Normal	CI.L_Tumour_Normal	CI.R_Tumour_Normal	AveExpr_Tumour_Normal	t_Tumour_Normal	P.Value_Tumour_Normal	adj.P.Val_Tumour_Normal	B_Tumour_Normal
URS0000EFD807_GR_chr7_129774926_129774988_63_-	2.370921523212525	1.7868607016320883	2.9549823447929615	12.251745461436013	8.74715454028757	6.860123438732918e-7	4.4181003053084657e-4	6.393240170738813
URS00002620A7_GR_chr17_58331245_58331267_23_-	2.9946406414324613	2.188964757262353	3.8003165256025695	8.48071791588166	8.009253602206867	1.8637025328192781e-6	4.4181003053084657e-4	5.410257813379912
URS0000564D66_GR_chr14_100874553_100874574_22_+	-2.7026248894704086	-3.4318347947171977	-1.9734149842236195	5.512194752311751	-7.986213349347838	1.9247277620292155e-6	4.4181003053084657e-4	5.388739258320575
URS000023BE29_GR_chr11_72615066_72615088_23_-	-4.116733196016341	-5.231007712489899	-3.002458679542783	4.1817773248646315	-7.961010898553809	1.9939149319469334e-6	4.4181003053084657e-4	5.3291551142839255
URS000075A1A8_GR_chr14_101045920_101045994_75_+	-2.4628822539819204	-3.1422059674770497	-1.783558540486791	5.9867349300656665	-7.812221886111526	2.459966762421195e-6	4.4181003053084657e-4	5.147981838879158
URS00000AF93C_GR_chr17_59841266_59841337_72_+	2.1950227911491105	1.5771697824472253	2.8128757998509957	7.533512836393709	7.655288518605488	3.0790124261792894e-6	4.536053862853912e-4	4.91844013505796
URS0000EFBB37_GR_chr6_6169342_6169402_61_+	-3.185562943677538	-4.093582666039581	-2.277543221315494	1.360644337232644	-7.559596312028052	3.5358994476589515e-6	4.536053862853912e-4	4.690065809743878
hsa_piR_008114_DQ581033	-2.539924005805176	-3.2981225356111774	-1.7817254759991745	11.725459066443062	-7.2184753892855795	5.844876976915004e-6	6.129129807420033e-4	4.282680659728529
URS00004FCB5F_GR_chr21_16590292_16590313_22_+	-2.3617401875777735	-3.071665134098367	-1.65181524105718	4.416187848365052	-7.168484946224512	6.2995040996188475e-6	6.129129807420033e-4	4.235405979293997
URS00006C1298_GR_chr12_6943818_6943878_61_+	3.4250913240459013	2.3864934220739187	4.463689226017884	1.9109944750137664	7.106117921222316	6.919725310316896e-6	6.129129807420033e-4	4.021789516500632
URS0000EFE6EA_GR_chr21_16539100_16539160_61_+	-2.634263078167173	-3.4391620899451305	-1.8293640663892154	10.478915728445902	-7.052213406434707	7.507842748510062e-6	6.129129807420033e-4	4.029638536665642
URS0000EFD9C0_GR_chr9_70809992_70810052_61_-	-3.5701604874897908	-4.670496807153684	-2.469824167825897	2.0743041199643666	-6.991493949959013	8.234144573223486e-6	6.161884855628908e-4	3.9737831448303265
URS0000EFCB87_GR_chr14_101022070_101022129_60_+	-2.8591810494559002	-3.755758209582985	-1.9626038893288156	8.794554147732157	-6.871660279917404	9.894301980726253e-6	6.834679368224751e-4	3.7519868184753413
URS0000164B86_GR_chr11_62853904_62853968_65_-	1.9508071033439283	1.3296522898743413	2.5719619168135153	6.620339513123592	6.767405010492051	1.1626716278696574e-5	7.133524735557478e-4	3.5989854494882128
URS0000EFE150_GR_chr21_16539837_16539904_68_+	-2.3106889628540603	-3.0522969548427414	-1.5690809708653792	7.164335674200287	-6.71389869354619	1.2637619640298847e-5	7.133524735557478e-4	3.5138793708956655
URS0000527F89_GR_chr5_149430661_149430683_23_+	-2.497144585883495	-3.2990319754808284	-1.6952571962861618	10.436859030419619	-6.710239179140736	1.2710066343977689e-5	7.133524735557478e-4	3.5040951439230295
URS0000EFE028_GR_chr10_103394299_103394361_63_-	1.818058205202398	1.2128317834135238	2.423284626991272	7.488692563471356	6.47288064503988	1.8486266836442304e-5	9.09683734808197e-4	3.1341041458384318
URS00001FFA8C_GR_chr14_101045968_101045989_22_+	-2.192591600767484	-2.9251656934853223	-1.4600175080496456	5.888733987537422	-6.449319396966335	1.9194706397252727e-5	9.09683734808197e-4	3.12281778270688
URS0000EFE4D0_GR_chr2_176150328_176150390_63_+	-2.5258030120905364	-3.370226204634946	-1.6813798195461267	6.147822713127305	-6.445357620868479	1.9316611742810433e-5	9.09683734808197e-4	3.105882051271685
URS0000EFDA02_GR_chr5_149430660_149430720_61_+	-2.6586018091573758	-3.5515510499691025	-1.765652568345649	8.083628122086633	-6.415554799041567	2.0260216810872985e-5	9.09683734808197e-4	3.0396014689203046
URS0000EFBD9F_GR_chr2_176150329_176150389_61_+	-2.4737252939835077	-3.316023550030429	-1.6314270379365863	16.600026177099252	-6.328390407837918	2.3309227593960998e-5	9.588515951167105e-4	2.9283785501222788
URS0000EFE3D6_GR_chr11_122099768_122099830_63_-	-2.14551731966073	-2.876616622150819	-1.4144180171706404	9.781171256750358	-6.32358485238246	2.3490796316890456e-5	9.588515951167105e-4	2.8882966885423222
URS00004E0FA9_GR_chr11_62853663_62853732_70_-	1.7966173736448372	1.1772442152129434	2.415990532076731	13.217124736209755	6.250444594552372	2.6445849485792163e-5	0.0010325379494887548	2.784723001261277
URS0000EFEC4D_GR_chr11_568111_568171_61_-	2.348472078943386	1.5266640162096428	3.1702801416771296	3.8224588139457256	6.157759157057808	3.076311316814677e-5	0.0011510531510414916	2.6839874164553876
URS0000EFC120_GR_chr17_7017626_7017687_62_-	-1.7101927642617962	-2.3143669319279994	-1.106018596595593	6.0113488140115265	-6.09944904415346	3.3854099549082836e-5	0.0011858110564001685	2.5401160986261697
URS000055BBE5_GR_chr1_1169055_1169076_22_+	1.7655157878699175	1.1393526294695482	2.3916789462702868	4.666377234816755	6.0756365967201384	3.520877461743495e-5	0.0011858110564001685	2.5254887939402098
URS00006A8564_GR_chr11_75335092_75335186_95_-	-1.862900416484007	-2.5244307835143003	-1.2013700494537138	6.4732067417089505	-6.068027637830465	3.565356182940373e-5	0.0011858110564001685	2.500755580198371
URS0000EFE6B7_GR_chr11_72615065_72615124_60_-	-3.5515027711566134	-4.82133475716165	-2.2816707851515767	5.868980633553152	-6.043377109888209	4.177669117914815e-5	0.0012882912148847975	2.382091973136875
URS000060A1F4_GR_chr14_101022071_101022091_21_+	-2.107457432300749	-2.8743643150392018	-1.3405505495622962	8.395626447275264	-5.92139279772468	4.548350035063667e-5	0.0012882912148847975	2.2239892321808226
