gene_id	n
URS000027D32E_GR_chr1_64457_64484_28_+	767
URS0000506BA9_GR_chr1_4042158_4042183_26_-	755
URS00000A7DCF_GR_chr1_444816_444843_28_-	754
URS00003CC116_GR_chr1_72723_72750_28_-	750
URS00003ECC99_GR_chr1_4104086_4104114_29_+	750
URS000033F8E1_GR_chr1_443011_443039_29_-	742
URS000046C51C_GR_chr1_7414731_7414760_30_+	741
URS000042B611_GR_chr1_4364416_4364444_29_-	735
URS00000D32A2_GR_chr1_1410011_1410040_30_+	732
URS000014AB97_GR_chr1_1410011_1410039_29_+	732
URS0000237C79_GR_chr1_1409995_1410023_29_+	726
URS000004212B_GR_chr1_7416901_7416927_27_+	719
URS000040DA09_GR_chr1_1653871_1653901_31_+	719
URS0000249110_GR_chr1_6304933_6304960_28_-	718
URS0000324BB7_GR_chr1_4364613_4364638_26_+	718
URS000039655E_GR_chr1_1300978_1301005_28_-	717
URS0000467916_GR_chr1_6304665_6304692_28_-	713
URS000018437A_GR_chr1_75069_75095_27_-	712
URS000028AE84_GR_chr1_7415385_7415415_31_-	709
URS000055D33C_GR_chr1_6304650_6304678_29_-	707
URS000056627E_GR_chr1_6304657_6304685_29_-	705
URS00000B4631_GR_chr1_1262113_1262140_28_+	704
URS0000546170_GR_chr1_7636648_7636674_27_-	703
URS000057DF45_GR_chr1_8503022_8503047_26_-	691
URS00005CE57A_GR_chr1_6306089_6306119_31_-	691
URS00001960D9_GR_chr1_14385824_14385851_28_+	677
URS0000306613_GR_chr1_75435_75464_30_+	677
URS000013F046_GR_chr1_6715794_6715824_31_-	666
URS00004F4529_GR_chr1_6305688_6305715_28_-	665
URS0000344D01_GR_chr1_6304892_6304921_30_+	662
URS00005D34B8_GR_chr1_4779921_4779949_29_-	656
URS0000138044_GR_chr1_6715881_6715909_29_-	645
URS00004846DA_GR_chr1_30439755_30439780_26_-	644
URS00003B307C_GR_chr1_14388232_14388261_30_-	639
URS00004C7BAF_GR_chr1_6304799_6304830_32_-	629
URS000024FF5C_GR_chr1_6304696_6304726_31_-	627
URS00005923D6_GR_chr1_6304426_6304454_29_+	626
URS0000398308_GR_chr1_4904079_4904107_29_-	624
URS000057B978_GR_chr1_6305753_6305778_26_-	615
URS00004A3A0D_GR_chr1_6305751_6305778_28_-	612
URS000029F615_GR_chr1_6305920_6305948_29_-	599
URS000014C511_GR_chr1_25507575_25507603_29_+	596
URS0000437388_GR_chr1_6715664_6715691_28_+	591
URS00001E4C40_GR_chr1_25506618_25506647_30_-	581
URS000020317A_GR_chr1_6395583_6395612_30_+	575
URS00002FC429_GR_chr1_10028418_10028447_30_-	574
URS0000040AC6_GR_chr1_1357584_1357613_30_-	565
URS00004EE069_GR_chr1_7952886_7952913_28_+	565
URS00005F951E_GR_chr1_10028417_10028447_31_-	564
URS0000164559_GR_chr1_10028416_10028446_31_-	563
URS000057C977_GR_chr1_6395576_6395602_27_+	559
URS00002CE655_GR_chr1_6395574_6395601_28_+	552
URS0000344EFA_GR_chr1_6395574_6395602_29_+	551
URS00005AC99C_GR_chr1_40366216_40366244_29_+	549
URS000028D7E6_GR_chr1_6304876_6304903_28_-	548
URS0000140720_GR_chr1_6395571_6395600_30_+	545
URS0000217972_GR_chr1_6395554_6395581_28_-	542
URS000051813E_GR_chr1_6010071_6010099_29_-	539
URS00003CA1DE_GR_chr1_20873753_20873781_29_-	535
URS0000157B9D_GR_chr1_6305898_6305924_27_+	525
URS00002FEB33_GR_chr1_6305653_6305681_29_+	520
URS00001F18A7_GR_chr1_6715729_6715754_26_-	519
URS00000F84E3_GR_chr1_4258493_4258520_28_+	510
URS0000118350_GR_chr1_1944659_1944686_28_+	504
URS0000616DEF_GR_chr1_5118819_5118845_27_+	499
URS0000538D34_GR_chr1_7603772_7603798_27_+	473
URS000053990B_GR_chr1_3976178_3976205_28_-	463
URS000024B232_GR_chr1_4041210_4041237_28_+	461
URS000018A631_GR_chr1_6305522_6305549_28_-	457
URS00001D0DEF_GR_chr1_6305521_6305549_29_-	451
URS00004CABC2_GR_chr1_9866468_9866498_31_-	451
URS000004A3E1_GR_chr1_6305674_6305702_29_-	436
URS0000251E76_GR_chr1_18478171_18478199_29_+	426
URS0000058F30_GR_chr1_1017331_1017357_27_+	423
URS0000071247_GR_chr1_6305671_6305702_32_-	417
URS00003565B5_GR_chr1_34571714_34571741_28_+	407
URS0000592750_GR_chr1_4040614_4040640_27_+	406
URS0000250451_GR_chr1_7417141_7417167_27_+	402
URS00004C42CB_GR_chr1_4385144_4385174_31_+	398
URS000052EECD_GR_chr1_11083732_11083761_30_-	384
URS00004B6CBD_GR_chr1_33830145_33830173_29_+	380
URS00004C7039_GR_chr1_30459616_30459642_27_+	376
URS000022AF56_GR_chr1_35132413_35132441_29_-	360
URS000046AD01_GR_chr1_12085163_12085195_33_+	358
URS00005D71A4_GR_chr1_6715722_6715747_26_-	352
URS000026685A_GR_chr1_11161642_11161669_28_-	338
URS00003432D7_GR_chr1_8697595_8697624_30_-	337
URS000015FA05_GR_chr1_14086246_14086274_29_+	332
URS0000283D1E_GR_chr1_4541599_4541628_30_+	332
URS00005C4713_GR_chr1_32432657_32432686_30_-	327
URS00005360D8_GR_chr1_7976976_7977005_30_+	323
URS000039BE8C_GR_chr1_6715720_6715749_30_-	321
URS00000E46CE_GR_chr1_5047780_5047805_26_-	319
URS00000E8283_GR_chr1_6305500_6305525_26_-	316
URS0000236B21_GR_chr1_11010829_11010854_26_+	310
URS000060659B_GR_chr1_4381921_4381949_29_-	310
URS000022672D_GR_chr1_4381920_4381948_29_-	308
URS000015321D_GR_chr1_10426121_10426150_30_+	306
URS00005586B4_GR_chr1_13433691_13433717_27_+	306
URS0000436A76_GR_chr1_1410273_1410297_25_-	300
URS00001D4228_GR_chr1_1580490_1580515_26_-	296
URS0000146950_GR_chr1_18331536_18331563_28_+	295
URS000014C8ED_GR_chr1_7605000_7605028_29_+	289
URS0000272DA1_GR_chr1_28234248_28234276_29_-	286
URS00002B2324_GR_chr1_4858660_4858689_30_+	286
URS00000E78BA_GR_chr1_2813925_2813954_30_-	283
URS00004148D7_GR_chr1_4214431_4214457_27_+	281
URS00002C0F8E_GR_chr1_34571751_34571780_30_+	267
URS00003048A7_GR_chr1_9899008_9899036_29_+	265
URS00005FA3C0_GR_chr1_21023686_21023713_28_+	265
URS0000315238_GR_chr1_2813949_2813976_28_-	261
URS0000286714_GR_chr1_34571779_34571806_28_+	256
URS000034DE43_GR_chr1_15802131_15802160_30_-	253
URS0000066F7C_GR_chr1_4385146_4385176_31_+	249
URS000041EBB9_GR_chr1_5117808_5117835_28_-	246
URS00004B59DE_GR_chr1_21023686_21023714_29_+	246
URS0000117F68_GR_chr1_8801353_8801383_31_+	243
URS000012CFE6_GR_chr1_34571599_34571627_29_-	237
URS00003B0F64_GR_chr1_19944662_19944691_30_+	235
URS000014BBFC_GR_chr1_4840415_4840444_30_+	229
URS00000C5776_GR_chr1_5045317_5045342_26_-	228
URS0000452BB7_GR_chr1_74625_74655_31_+	228
URS0000174AF4_GR_chr1_2955446_2955476_31_-	224
URS00003C052B_GR_chr5_35669_35697_29_-	224
URS00005B3BDA_GR_chr5_331113_331140_28_-	221
URS000056E8E5_GR_chr1_8103970_8104000_31_+	219
URS000043E9E2_GR_chr1_48171428_48171454_27_-	218
URS00004AAD85_GR_chr1_4378714_4378743_30_-	216
URS00001C68EE_GR_chr1_6395414_6395444_31_+	214
URS00004918CF_GR_chr1_11609784_11609814_31_-	211
URS00005EB7AB_GR_chr1_17482007_17482036_30_-	211
URS0000189E30_GR_chr1_15379451_15379479_29_+	209
URS00002AA825_GR_chr1_13433336_13433366_31_+	208
URS000040452E_GR_chr1_48444775_48444803_29_-	201
URS0000208305_GR_chr5_2238209_2238236_28_-	197
URS000011F5D5_GR_chr5_134528_134557_30_-	196
URS000014E7A1_GR_chr1_48880661_48880691_31_+	191
URS00004396F7_GR_chr1_24272845_24272870_26_+	191
URS0000102C6D_GR_chr1_55023246_55023275_30_-	190
URS000019E3E0_GR_chr1_6792030_6792058_29_-	189
URS00000A87AB_GR_chr1_21023765_21023793_29_+	184
URS000006BBF8_GR_chr1_74877175_74877204_30_+	181
URS0000173CF3_GR_chr5_1775144_1775175_32_+	181
URS0000562E84_GR_chr1_5369773_5369803_31_+	181
URS00002B0A5E_GR_chr1_49006342_49006368_27_-	179
URS0000287613_GR_chr1_6700004_6700032_29_-	173
URS0000429219_GR_chr1_6700003_6700031_29_-	170
URS000015535D_GR_chr1_37368637_37368662_26_+	169
URS00001D7177_GR_chr1_33207544_33207574_31_-	168
URS0000537130_GR_chr1_16103232_16103259_28_+	168
URS00003651E3_GR_chr1_8153671_8153699_29_+	166
URS00000EE133_GR_chr1_17151629_17151660_32_-	165
URS000015766C_GR_chr1_124949141_124949169_29_-	163
URS00000E5CE4_GR_chr1_13242896_13242923_28_+	162
URS0000295790_GR_chr1_16103232_16103260_29_+	162
URS0000142311_GR_chr5_1309475_1309503_29_-	160
URS0000179157_GR_chr1_19051602_19051630_29_+	160
URS000029A27B_GR_chr1_13394681_13394712_32_-	160
URS00005EBC85_GR_chr1_67155183_67155210_28_-	160
