smallRNA	logFC_Spheroid_Mono_FC	logFC_Spheroid_Mono_salmon
URS000049DAFB_GR_chr21_8210893_8210923_31_+	4.048979775641647	5.145563136158364
hsa_piR_020365_DQ597975	3.434141333012959	7.286662389395013
URS0000441811_GR_chr21_8210896_8210927_32_+	3.1758676825010514	2.6067565673967508
URS0000336885_GR_chr20_29298646_29298674_29_-	5.453240604261832	6.015019677376573
hsa_piR_017936_DQ594740	3.3261542586224717	4.769329097156749
hsa_piR_020619_DQ598378	5.181568285216955	5.372492093774888
URS000025C8A1_GR_chr2_27050845_27050871_27_+	-2.9864018022890093	-2.6019996421682823
URS000009C1FC_GR_chr6_26575631_26575660_30_+	-2.925071591365125	-1.7669463063144057
hsa_piR_000775_DQ570968	2.942583263138563	4.246826483608913
hsa_piR_019675_DQ596992	5.775029092124237	5.983416852946726
hsa_piR_008488_DQ581533	4.044712985442917	4.691839629664259
URS00003F0F42_GR_chr21_8210897_8210926_30_+	3.854508713499186	5.226163311596225
hsa_piR_020490_DQ598167	4.14868859042148	2.7360757361275443
hsa_piR_007979_DQ580854	4.10872980726144	4.426276005392815
hsa_piR_016735_DQ593039	1.9835831363494556	2.995325487618537
hsa_piR_017184_DQ593752	4.606685423509936	4.187655025429492
hsa_piR_000753_DQ570940	3.312566898270304	3.6446507892069686
hsa_piR_001318_DQ571823	4.3846357537290945	4.6772900742475265
hsa_piR_006426_DQ578783	3.1064732800750194	2.9439332866446044
URS00004E6E4D_GR_chr17_8226661_8226691_31_-	1.4796051025243848	1.656354313380378
hsa_piR_009294_DQ582566	1.3077222044291172	3.1396110758103575
hsa_piR_008112_DQ581031	-0.9964780204239734	-2.389956750565971
URS00004BF3BA_GR_chr21_8215727_8215756_30_+	3.5662375355760947	4.833709500264838
hsa_piR_018573_DQ595539	4.4460017591108505	3.9552055208085193
hsa_piR_020548_DQ598263	4.232633774204841	4.18362421562788
hsa_piR_014923_DQ590404	4.268823970099527	4.487705727989542
hsa_piR_008033_DQ580927	4.571241922762365	8.057112743768334
URS000027190B_GR_chr21_8216294_8216322_29_+	3.5346458410756627	5.0325735581610065
hsa_piR_005076_DQ577008	2.941822376814941	2.336725215767571
URS00005874CD_GR_chr21_8218452_8218479_28_+	4.154616032431554	4.175853697670272
hsa_piR_021190_DQ599117	4.211413241942929	4.8698213185491
hsa_piR_004309_DQ575884	1.9277219903153817	2.5881165548019327
URS00003E868B_GR_chr21_8218421_8218452_32_+	4.126029468383696	3.7111633063025797
URS00001650DC_GR_chr21_8210692_8210721_30_+	5.429569464900494	3.995420939024089
hsa_piR_015254_DQ590835	3.7164613497196184	4.8540557447963195
hsa_piR_001184_DQ571550	2.2208023173684888	4.278058688626096
hsa_piR_020809_DQ598639	3.531657177484252	3.318099718230779
URS00004CEA14_GR_chr12_124927842_124927869_28_-	-1.6037774747638927	-1.7440646323870475
URS0000372535_GR_chr16_47505331_47505357_27_+	1.7684727058477652	3.171019581332718
hsa_piR_020381_DQ597997	3.7912083395660385	3.5256646513471983
URS00001D1556_GR_chr21_8215387_8215417_31_+	2.457891600629347	2.085960711031346
URS000044DA37_GR_chr1_161523848_161523879_32_-	2.757367829651622	6.020178595972884
URS00000BDE9E_GR_chr14_102317132_102317162_31_+	1.9068063898789216	2.6929687979316173
URS000051F814_GR_chr2_229180940_229180967_28_-	1.9774460869098296	2.206428789401625
URS000043000B_GR_chr1_161523847_161523878_32_-	1.836924977826743	3.6865755462018703
URS00004949A9_GR_chr21_8215846_8215876_31_+	1.584657373344191	2.783179239365108
hsa_piR_001040_DQ571333	2.6875481913096673	2.9861611368312007
hsa_piR_016984_DQ593431	4.813880512380205	4.774974152196223
