smallRNA_id	logFC_tumor_vs_normal_FC	P.Value_tumor_vs_normal_FC	adj.P.Val_tumor_vs_normal_FC	logFC_tumor_vs_normal_salmon	P.Value_tumor_vs_normal_salmon	adj.P.Val_tumor_vs_normal_salmon	gene_type
URS000009262D_GR_chr17_59841311_59841331_21_+	2.908152371	2.81E-08	3.72E-05	NA	NA	NA	miRNA
URS0000EFD981_GR_chr7_129774927_129774987_61_-	2.694003276	6.58E-08	3.72E-05	NA	NA	NA	precursor_RNA
URS000075E13C_GR_chr7_129774966_129774987_22_-	2.711436976	6.77E-08	3.72E-05	NA	NA	NA	miRNA
URS0000EFD807_GR_chr7_129774926_129774988_63_-	2.477891482	3.50E-07	1.44E-04	2.381106632	1.19E-06	7.41E-04	precursor_RNA
URS00000EEF5F_GR_chr10_103394341_103394361_21_-	3.339292048	9.50E-07	2.66E-04	NA	NA	NA	miRNA
URS0000D4FD8F_GR_chr10_103394339_103394361_23_-	3.214272746	1.06E-06	2.66E-04	NA	NA	NA	miRNA
URS0000564D66_GR_chr14_100874553_100874574_22_+	-2.596501448	2.47E-06	2.66E-04	-2.720551292	2.82E-06	7.41E-04	miRNA
URS0000EFEDB5_GR_chr14_100874514_100874574_61_+	-2.58846037	2.53E-06	2.66E-04	NA	NA	NA	precursor_RNA
URS000069AA59_GR_chr14_100874490_100874585_96_+	-2.584715031	2.55E-06	2.66E-04	NA	NA	NA	precursor_RNA
URS000075CFEA_GR_chr14_100874493_100874585_93_+	-2.584715031	2.55E-06	2.66E-04	-2.27752769	0.001026562	0.007190434	precursor_RNA
URS00002620A7_GR_chr17_58331245_58331267_23_-	2.543928269	2.57E-06	2.66E-04	2.974636006	3.44E-06	7.41E-04	miRNA
URS0000EFD44E_GR_chr17_58331244_58331303_60_-	2.534185523	2.75E-06	2.66E-04	NA	NA	NA	precursor_RNA
URS0000EFD752_GR_chr17_58331242_58331305_64_-	2.505055403	3.16E-06	2.66E-04	1.781935573	6.88E-05	0.002044073	precursor_RNA
URS0000EFD9C0_GR_chr9_70809992_70810052_61_-	-3.387074385	3.31E-06	2.66E-04	-3.587876894	1.26E-05	9.53E-04	precursor_RNA
URS000075AE07_GR_chr17_58331232_58331318_87_-	2.496648718	3.31E-06	2.66E-04	NA	NA	NA	precursor_RNA
URS0000617EF6_GR_chr17_58331245_58331266_22_-	2.447976821	3.47E-06	2.66E-04	1.835707408	8.05E-05	0.002220767	miRNA
URS0000EFE6B7_GR_chr11_72615065_72615124_60_-	-3.474582457	3.97E-06	2.66E-04	-3.517310769	7.05E-05	0.002044073	precursor_RNA
URS0000306C33_GR_chr11_72615063_72615130_68_-	-3.474612397	3.97E-06	2.66E-04	NA	NA	NA	precursor_RNA
URS00006ECD73_GR_chr14_101045918_101045996_79_+	-2.314628694	4.44E-06	2.66E-04	NA	NA	NA	precursor_RNA
URS000075A1A8_GR_chr14_101045920_101045994_75_+	-2.314628694	4.44E-06	2.66E-04	-2.460416886	4.51E-06	7.41E-04	precursor_RNA
