sncRNA	Primary_Solid_Tumor_salmon	Solid_Tissue_Normal_salmon	Primary_Solid_Tumor_fc	Solid_Tissue_Normal_fc
URS00002337B8_GR_chr1_629490_629570_81_-	4.656394868060476	5.647440196068606	3.94671145213712	5.469854064625362
URS00000A75D2_GR_chr1_629499_629570_72_+	63.02474009806886	77.48424574097058	3.933404462116392	5.452362457383078
URS0000EC8040_GR_chr1_629501_629570_70_-	8.713192326335648	48.728113576603285	3.822260272193615	5.304501478696077
URS0000DDB6FD_GR_chr1_630827_630875_49_-	12.625421339001425	6.717957460464894	NA	NA
URS000083167E_GR_chr1_630916_630981_66_-	4.189908531466276	3.078182757121529	9.741755559173134	6.8357724848216614
URS0000BA5588_GR_chr1_632615_632685_71_-	16.748027517262805	7.176454998639689	NA	NA
URS000000EE2E_GR_chr1_633464_633533_70_+	52.562325747528526	17.509496296183464	4.684251122947239	2.090351963951432
URS0000440183_GR_chr1_633467_633553_87_+	10.547291968477017	7.213811408734389	NA	NA
URS0000650AFF_GR_chr1_1167115_1167188_74_+	53.20894903494446	39.01501110147109	123.99969125671966	66.06601777577147
URS000012A1DD_GR_chr1_1167124_1167145_22_+	10.060700177422564	5.297137257917589	4.116288788227655	2.2283017377117713
URS00002B452B_GR_chr1_1167160_1167182_23_+	508.85260728410697	279.90558803125134	119.5270621505984	63.81048893616647
URS00006E24A0_GR_chr1_1167869_1167945_77_+	7.7680525820436905	4.547209458315951	140.8236649834087	46.13844102594117
URS0000EFDBD3_GR_chr1_1167877_1167938_62_+	183.88286947865598	67.9284618499224	140.59899400915538	46.10765033881649
URS000023B77E_GR_chr1_1167878_1167899_22_+	356.4872912588698	96.03776093551787	94.25535258760793	28.15157149905739
URS00003DB428_GR_chr1_1167916_1167938_23_+	237.93369236021562	94.77954443983496	44.27134737933258	17.234025692307576
URS000055BBE5_GR_chr1_1169055_1169076_22_+	65.53882122288351	20.739532605038566	24.77338784220098	7.7738025906477315
URS0000EFC8EF_GR_chr1_9151691_9151756_66_-	178.7377380593939	232.08497750327268	32.34512248714771	41.26122532341074
URS0000676297_GR_chr1_10999862_10999945_84_-	290.1133889323799	392.449530392919	7.346332252806468	9.12402054848269
URS000051BA34_GR_chr1_16514123_16514171_49_-	12.909507503109795	6.748073365639179	90.80814800754398	89.50827664349323
URS000075A722_GR_chr1_28578743_28578822_80_-	315.9300662696235	169.42511710246666	127.89973991010815	67.55991995475969
URS0000668E72_GR_chr1_30935688_30935773_86_-	19.654424498910824	18.428998016654834	3.707426608071256	3.373851212043427
URS00006F1C13_GR_chr1_30968164_30968236_73_-	37.381125439924226	56.013132715507524	26.001152056906093	26.547431175029246
hsa_piR_020813_DQ598646	78.76171856222737	76.56873899513192	17.644918737833763	16.06343130833795
URS000075C4DE_GR_chr1_40754355_40754446_92_+	4547.894280847116	7965.126792928556	4066.2828476930454	6509.946723801741
URS00007169CB_GR_chr1_40754371_40754432_62_+	4714.282979699063	4724.769536824789	1366.1877471712821	1538.65861316919
URS00004DC6A5_GR_chr1_40754413_40754434_22_+	7173.1358240278	12487.89738283486	3031.4700453736846	5520.753417872583
URS00006D4A6F_GR_chr1_40757300_40757358_59_+	51.52041831027003	94.47245605453419	68.40290894996303	89.28356851782083
URS0000010A7C_GR_chr1_44776492_44776589_98_+	22.249733743689063	10.300152747783786	16.92938964354768	8.358051942198589
URS00003640C3_GR_chr1_44777842_44777912_71_+	100.96453329929052	107.74599887642108	73.32257630254477	70.03672941864136
URS000067EB9D_GR_chr1_44777843_44777912_70_+	30.287260495807303	26.76957251232453	59.30088584023656	56.305952705647805
URS000040478E_GR_chr1_44778390_44778458_69_+	13.553488658736313	9.172370630463393	9.962088593185133	6.339715902093409
hsa_piR_001101_DQ571419	10.53962337135376	7.924579461018499	NA	NA
URS000068C733_GR_chr1_51865633_51865709_77_+	7.829711719137729	5.2408927846670235	NA	NA
URS0000370AC5_GR_chr1_65058434_65058508_75_-	2.019980122975656	6.521942688104857	1150.922201023801	1540.3591489774499
URS0000EFDDC6_GR_chr1_65058440_65058499_60_-	2760.7792511018856	5017.431814563837	1150.8165238826894	1540.1129771048277
URS00005FF45E_GR_chr1_65058441_65058462_22_-	3475.525759692924	6043.664374480935	1523.3064732748583	2216.3583950424722
URS000075D737_GR_chr1_65058442_65058463_22_-	7112.945394986177	6941.049005166646	1927.7659994644603	2536.3602329110167
URS0000EFF2AC_GR_chr1_71067641_71067702_62_-	241.2850551607282	322.0228193043816	52.78855200515954	64.92880776790999
URS0000668E0B_GR_chr1_75787072_75787150_79_+	102.55114657914977	50.51150630549881	34.283991722172125	14.855873739282076
URS00000A3335_GR_chr1_75787889_75787972_84_+	78.72747949055983	29.210736148624395	62.30753765762826	25.864286848926124
URS0000725609_GR_chr1_75789477_75789548_72_+	9.359703547396485	4.468261173832515	NA	NA
URS00002E0A2C_GR_chr1_92837289_92837383_95_+	96.7620872130219	137.46678310356816	108.72125894513192	145.70301907931218
URS000047CD44_GR_chr1_93847573_93847657_85_+	188.9923145503418	69.86041181218827	198.49982870333238	73.53356417988874
URS00000F4AC3_GR_chr1_109598893_109598967_75_+	24.23373896830385	34.998011310314276	96.37692749232485	117.83620547351498
URS000061E740_GR_chr1_109598940_109598961_22_+	241.7576310602136	301.3227649420606	93.30996229007044	111.46375367832756
URS000058BF17_GR_chr1_116671787_116671808_22_+	4.039703849185014	5.189392378042683	4.0092836742867295	3.2232467518144072
hsa_piR_020809_DQ598639	5.014825369164031	3.8039276001092435	NA	NA
URS00001246A7_GR_chr1_145287766_145287841_76_+	34.08234462642761	14.831068644652065	NA	NA
URS00006DBFC1_GR_chr1_145459658_145459729_72_+	4.661329549314879	10.854412445248611	15.240744519162998	13.055989103012733
URS00004F0321_GR_chr1_146035692_146035763_72_+	2236.8712505233734	841.2466888574714	385.9297131768302	124.0330064367769
URS000034AAC2_GR_chr1_146037061_146037132_72_+	95.29100906987553	114.59385408303955	62.05179075117066	69.95832968234116
hsa_piR_004987_DQ576872	6.9919325453577725	13.312745565932385	80.31206104615951	87.01883605903429
URS000044BAE3_GR_chr1_146038044_146038115_72_+	1532.699388051807	628.1912163722614	2151.4707245850245	1690.8995704090987
URS00001AD596_GR_chr1_146039401_146039473_73_+	28.675741960126288	13.474910225686784	10.35082294476996	4.568295778013136
URS0000C8E9CB_GR_chr1_148317369_148317438_70_-	6.758845093698491	3.346499286698931	10.241995667148526	3.6770984161946236
URS000030BAD5_GR_chr1_153671250_153671321_72_+	113.17120302177169	68.5979400447966	71.29558418993973	38.25336503656826
hsa_piR_016984_DQ593431	66.61458528347602	18.448960295851354	25.022854097173575	6.5131598947052405
URS000075BA3A_GR_chr1_155195177_155195272_96_+	48.87862767769661	21.82436897838411	85.42923993954379	32.26411434586612
URS000025576D_GR_chr1_155195237_155195258_22_+	172.32688499290202	66.6760469121843	84.4324585399785	31.969691466187317
URS0000EFC850_GR_chr1_156420353_156420414_62_-	812.5273512569458	417.1789809717609	168.79375118990828	69.9388960796782
URS00006174C2_GR_chr1_161440825_161440896_72_-	63.405630381633834	64.29386838499715	62.45830347252629	60.76746061813386
URS00000711F0_GR_chr1_161440826_161440864_39_-	10.751699236551568	4.2611897756022294	5.956890561430552	3.734130841706608
URS00002B094D_GR_chr1_161440827_161440856_30_-	6.0930006213484456	5.400707482897521	NA	NA
URS000042F13F_GR_chr1_161441533_161441615_83_+	104.12367659114048	41.33736084786336	167.93573830571768	86.72512042315249
URS0000EFC831_GR_chr1_172138815_172138878_64_-	22.339055073545403	25.54465826842273	6.426734929548493	7.43000499180292
URS000042BD45_GR_chr1_172138816_172138838_23_-	5.905610501409326	9.063694472871706	NA	NA
URS0000EFC240_GR_chr1_172144553_172144614_62_-	1152.9269028317824	1329.8327997834708	466.50270861223237	497.01597648068866
