RNAcentral_id	GR	logFC_Spheroid_Mono_FC	P.Value_Spheroid_Mono_FC	adj.P.Val_Spheroid_Mono_FC	logFC_Spheroid_Mono_salmon	P.Value_Spheroid_Mono_salmon	adj.P.Val_Spheroid_Mono_salmon	gene_type	RNA_type	ENSEMBL	GENCODE	GENECARDS	LNCIPEDIA	NONCODE	ENA	LNCBOOK	MALACARDS	HGNC	REFSEQ	RFAM	LNCBASE	MIRBASE	PDB	MIRGENEDB	SNODB	SNOPY	TARBASE	GTRNADB	SRPDB	5SRRNADB	LNCRNADB	MODOMICS	SILVA	TMRNA_WEB
URS000049DAFB	chr21_8210893_8210923_31_+	4.031580320263575	1.0458999048111296e-10	1.5259679611194382e-7	4.938133006892783	8.915053482140878e-7	9.195272984152152e-5	piRNA	piRNA	NA	NA	GENECARDS:piR-33082-001:URS000049DAFB_9606_gn_piR-33082-001, GENECARDS:piR-33082-002:URS000049DAFB_9606_gn_piR-33082-002, GENECARDS:piR-33082-003:URS000049DAFB_9606_gn_piR-33082-003, GENECARDS:piR-33082-004:URS000049DAFB_9606_gn_piR-33082-004	NA	NA	DQ573097.1:1..31:ncRNA_gn_piR-41209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000013CF05	chr12_127166393_127166411_19_-	4.507455176827899	4.6449321604763615e-10	3.388478011067506e-7	NA	NA	NA	miRNA	miRNA	NA	NA	GENECARDS:MF281429-001:URS000013CF05_9606_gn_MF281429-001, GENECARDS:MF281429-002:URS000013CF05_9606_gn_MF281429-002, GENECARDS:MF281429-003:URS000013CF05_9606_gn_MF281429-003, GENECARDS:MF281429-004:URS000013CF05_9606_gn_MF281429-004, GENECARDS:MF281429-005:URS000013CF05_9606_gn_MF281429-005, GENECARDS:MF281429-006:URS000013CF05_9606_gn_MF281429-006, GENECARDS:MF281429-007:URS000013CF05_9606_gn_MF281429-007	NA	NA	MF281429.1:1..19:ncRNA_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000336885	chr20_29298646_29298674_29_-	5.54447554890889	1.580903859711722e-9	4.698244921248527e-7	5.972676325396172	2.685947283938537e-6	9.678251786532344e-5	piRNA	piRNA	NA	NA	GENECARDS:piR-30451-001:URS0000336885_9606_gn_piR-30451-001, GENECARDS:piR-30451-002:URS0000336885_9606_gn_piR-30451-002, GENECARDS:piR-30451-003:URS0000336885_9606_gn_piR-30451-003, GENECARDS:piR-30451-004:URS0000336885_9606_gn_piR-30451-004, GENECARDS:piR-30451-005:URS0000336885_9606_gn_piR-30451-005	NA	NA	DQ570339.1:1..29:ncRNA_gn_piR-30451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075B3BD	chrX_109054542_109054590_49_+	6.1318379072185145	1.5849976971979142e-9	4.698244921248527e-7	5.574946685416517	1.8001748840889833e-5	1.880851025763688e-4	precursor_RNA	precursor_RNA	ENST00000611066_gn_ENSG00000275110.1	ENST00000611066_gn_AL928646.1	GENECARDS:ENSG00000275110:URS000075B3BD_9606_gn_ENSG00000275110	NA	NA	LM611651.1:1..49:precursor_RNA_gn_mir-6087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00000A3335	chr1_75787889_75787972_84_+	3.6516649018242	2.5695619807901987e-9	4.698244921248527e-7	-1.877676894370624	9.004261475821058e-4	0.00218436713580103	snoRNA	snoRNA	ENST00000384512_gn_ENSG00000207241.1	ENST00000384512_gn_SNORD45A	GENECARDS:SNORD45A:URS00000A3335_9606_gn_SNORD45A	NA	NA	X96644.1:1..84:ncRNA_gn_U45a small nuclear RNA	NA	NA	HGNC:10184_gn_SNORD45A	NR_002749_gn_SNORD45A	RF00279_gn_NA	NA	NA	NA	NA	27_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00008295AD	chr1_75787889_75787971_83_+	3.65211118687374	2.5913572161207604e-9	4.698244921248527e-7	NA	NA	NA	snoRNA	snoRNA	NA	NA	GENECARDS:SNORD45A:URS00008295AD_9606_gn_SNORD45A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1415_gn_NA	Homo_sapiens300667_gn_SNORD45A	NA	NA	NA	NA	NA	NA	NA	NA
URS000044BAE3	chr1_146038044_146038115_72_+	1.7886089694114986	2.614898495162056e-9	4.698244921248527e-7	0.7981503937865	1.2314359968373977e-4	5.170852621626387e-4	tRNA	tRNA	NA	NA	GENECARDS:TRH-GTG1-1:URS000044BAE3_9606_gn_TRH-GTG1-1, GENECARDS:TRH-GTG1-2:URS000044BAE3_9606_gn_TRH-GTG1-2, GENECARDS:TRH-GTG1-3:URS000044BAE3_9606_gn_TRH-GTG1-3, GENECARDS:TRH-GTG1-4:URS000044BAE3_9606_gn_TRH-GTG1-4, GENECARDS:TRH-GTG1-5:URS000044BAE3_9606_gn_TRH-GTG1-5, GENECARDS:TRH-GTG1-6:URS000044BAE3_9606_gn_TRH-GTG1-6, GENECARDS:TRH-GTG1-7:URS000044BAE3_9606_gn_TRH-GTG1-7, GENECARDS:TRH-GTG1-8:URS000044BAE3_9606_gn_TRH-GTG1-8, GENECARDS:TRH-GTG1-9:URS000044BAE3_9606_gn_TRH-GTG1-9	NA	NA	HG983832.1:1..72:tRNA_gn_tRNA-His-GTG-1-1, HG983833.1:1..72:tRNA_gn_tRNA-His-GTG-1-2, HG983834.1:1..72:tRNA_gn_tRNA-His-GTG-1-3, HG983835.1:1..72:tRNA_gn_tRNA-His-GTG-1-4, HG983836.1:1..72:tRNA_gn_tRNA-His-GTG-1-7, HG983837.1:1..72:tRNA_gn_tRNA-His-GTG-1-8, HG983838.1:1..72:tRNA_gn_tRNA-His-GTG-1-9, HG983839.1:1..72:tRNA_gn_tRNA-His-GTG-1-5, HG983840.1:1..72:tRNA_gn_tRNA-His-GTG-1-6	NA	NA	HGNC:33260_gn_TRH-GTG1-6, HGNC:34535_gn_TRH-GTG1-1, HGNC:34536_gn_TRH-GTG1-7, HGNC:34537_gn_TRH-GTG1-8, HGNC:34538_gn_TRH-GTG1-5, HGNC:34624_gn_TRH-GTG1-9, HGNC:34736_gn_TRH-GTG1-4, HGNC:34874_gn_TRH-GTG1-3, HGNC:34902_gn_TRH-GTG1-2	NA	RF00005_gn_NA	NA	NA	NA	NA	NA	NA	NA	tRNA-His-GTG-1-1:CM000663.1:145396881-145396952_gn_tRNA-His-GTG-1-1, tRNA-His-GTG-1-1:CM000663.2:146038044-146038115_gn_tRNA-His-GTG-1-1, tRNA-His-GTG-1-2:CM000663.1:146544773-146544844_gn_tRNA-His-GTG-1-2, tRNA-His-GTG-1-2:CM000663.2:147073225-147073296_gn_tRNA-His-GTG-1-2, tRNA-His-GTG-1-3:CM000663.1:147753471-147753542_gn_tRNA-His-GTG-1-3, tRNA-His-GTG-1-3:CM000663.2:148281365-148281436_gn_tRNA-His-GTG-1-3, tRNA-His-GTG-1-4:CM000663.1:147774845-147774916_gn_tRNA-His-GTG-1-4, tRNA-His-GTG-1-4:CM000663.2:148302734-148302805_gn_tRNA-His-GTG-1-4, tRNA-His-GTG-1-5:CM000668.1:27125906-27125977_gn_tRNA-His-GTG-1-5, tRNA-His-GTG-1-5:CM000668.2:27158127-27158198_gn_tRNA-His-GTG-1-5, tRNA-His-GTG-1-6:CM000671.1:14433938-14434009_gn_tRNA-His-GTG-1-6, tRNA-His-GTG-1-6:CM000671.2:14433940-14434011_gn_tRNA-His-GTG-1-6, tRNA-His-GTG-1-7:CM000677.1:45490804-45490875_gn_tRNA-His-GTG-1-7, tRNA-His-GTG-1-7:CM000677.2:45198606-45198677_gn_tRNA-His-GTG-1-7, tRNA-His-GTG-1-8:CM000677.1:45492611-45492682_gn_tRNA-His-GTG-1-8, tRNA-His-GTG-1-8:CM000677.2:45200413-45200484_gn_tRNA-His-GTG-1-8, tRNA-His-GTG-1-9:CM000677.1:45493349-45493420_gn_tRNA-His-GTG-1-9, tRNA-His-GTG-1-9:CM000677.2:45201151-45201222_gn_tRNA-His-GTG-1-9	NA	NA	NA	NA	NA	NA
URS000051BA34	chr1_16514123_16514171_49_-	4.084354078541239	7.481283267741672e-9	9.169836798189246e-7	5.8303752579852555	1.6667185445444413e-7	9.195272984152152e-5	snRNA	snRNA	NA	NA	GENECARDS:ENSG00000273768:URS000051BA34_9606_gn_ENSG00000273768, GENECARDS:ENSG00000277918:URS000051BA34_9606_gn_ENSG00000277918, GENECARDS:RF00003-025:URS000051BA34_9606_gn_RF00003-025, GENECARDS:RF00003-026:URS000051BA34_9606_gn_RF00003-026, GENECARDS:RNU1-1:URS000051BA34_9606_gn_RNU1-1, GENECARDS:RNU1-2:URS000051BA34_9606_gn_RNU1-2, GENECARDS:RNU1-3:URS000051BA34_9606_gn_RNU1-3, GENECARDS:RNU1-4:URS000051BA34_9606_gn_RNU1-4, GENECARDS:RNVU1-18:URS000051BA34_9606_gn_RNVU1-18	NA	NA	K03097.1:1..50:ncRNA_gn_NA	NA	MALACARDS:RNU1-1:URS000051BA34_9606_gn_RNU1-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000315291	chr11_109603197_109603224_28_+	4.277870825991795	1.10758327089865e-8	9.169836798189246e-7	NA	NA	NA	piRNA	piRNA	NA	NA	GENECARDS:piR-31355:URS0000315291_9606_gn_piR-31355	NA	NA	DQ597974.1:1..28:ncRNA_gn_piR-36040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00005A619D	chr11_109603197_109603223_27_+	4.3001043157879195	1.1249281355672068e-8	9.169836798189246e-7	NA	NA	NA	piRNA	piRNA	NA	NA	GENECARDS:piR-31355:URS00005A619D_9606_gn_piR-31355	NA	NA	DQ597973.1:1..27:ncRNA_gn_piR-36039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
