smallRNA	logFC	logCPM	F	PValue	FDR
URS00006F4D3F_GR_chr13_39857135_39857227_93_-	7.379708733331784	5.41301227935336	762.4789085694188	3.696158065158371e-7	2.3682678870673307e-4
URS00008205D0_GR_chr13_39857141_39857227_87_-	7.379708733331784	5.41301227935336	762.4789085694188	3.696158065158371e-7	2.3682678870673307e-4
URS0000660494_GR_chr4_26702309_26702388_80_+	5.492213525719368	4.0075045493517765	689.9365110954865	4.869639246882791e-7	2.3682678870673307e-4
URS000049DAFB_GR_chr21_8210893_8210923_31_+	3.9292277558490274	10.638530121533076	545.275902419499	9.310993219947678e-7	3.396184776975916e-4
URS0000691595_GR_chr11_93731502_93731574_73_-	5.594538886766676	4.453837931488322	400.3338348908331	2.1764082914077012e-6	5.29229949527306e-4
URS0000066733_GR_chr11_93731503_93731573_71_-	5.594538886766676	4.453837931488322	400.3338348908331	2.1764082914077012e-6	5.29229949527306e-4
URS00006F7AB2_GR_chr8_41426655_41426727_73_+	6.491779258388174	5.17681099898977	372.26845902312976	2.656421478684811e-6	5.536741339144484e-4
URS000044BAE3_GR_chr1_146038044_146038115_72_+	1.777033929964642	13.831981418399517	296.1153134183719	4.969305004653721e-6	9.062770002237224e-4
URS000051BA34_GR_chr1_16514123_16514171_49_-	4.146531901374126	10.954056215024146	254.55817596491715	8.033676841730658e-6	9.753638720324878e-4
hsa_piR_006613_DQ579049	8.321453415407685	6.50562274336943	255.59960945831696	8.423530656159269e-6	9.753638720324878e-4
URS0000514CEC_GR_chr21_8258710_8258726_17_+	7.6342305132987205	4.433135854525065	241.86680849194846	9.224199288887855e-6	9.753638720324878e-4
URS000075A7D1_GR_chr21_41746772_41746841_70_-	4.73016908374209	4.161788178899377	234.84442842707875	9.586322847284198e-6	9.753638720324878e-4
URS00008295AD_GR_chr1_75787889_75787971_83_+	3.831412466629549	7.671619288823402	217.50567712547272	1.1808088743934638e-5	9.753638720324878e-4
URS00000A3335_GR_chr1_75787889_75787972_84_+	3.830868844579384	7.672500774549617	216.63920455044544	1.1936412310029123e-5	9.753638720324878e-4
URS000075D26F_GR_chr12_48654444_48654530_87_-	4.263048259762948	5.147829196034742	208.65381217494328	1.2892500600050348e-5	9.753638720324878e-4
URS000075A9AB_GR_chr15_25106520_25106604_85_+	5.7933492614685385	6.3610183945355105	212.70951794495286	1.378202419041873e-5	9.753638720324878e-4
URS000022BCB9_GR_chr15_25106521_25106603_83_+	5.7933492614685385	6.3610183945355105	212.70951794495286	1.378202419041873e-5	9.753638720324878e-4
URS0000D52200_GR_chrX_151958628_151958651_24_-	-2.2029504520628342	6.824145896666005	197.4588764586713	1.4972355386607173e-5	9.753638720324878e-4
URS0000D55DFB_GR_chrX_151958628_151958652_25_-	-2.2029504520628342	6.824145896666005	197.4588764586713	1.4972355386607173e-5	9.753638720324878e-4
