sncRNA	gene_type	aCM_1_salmon	aCM_2_salmon	aCM_1_fc	aCM_2_fc
URS00002D6A3C_GR_chr1_8424712_8424741_30_-	piRNA	12.356017415812499	7.967356053293842	1.417057414924408	1.1965488656396481
URS0000326EEB_GR_chr1_8424728_8424766_39_-	piRNA	20.88183931160227	14.790771412499062	NA	NA
URS00006904B8_GR_chr1_9942463_9942549_87_-	snoRNA	30.105179332187756	18.15950462172142	72.37261348106688	37.53088235450157
URS00004F9942_GR_chr1_9942470_9942533_64_-	snoRNA	143.15491426435528	66.180976508485	70.0302472388448	35.12369482679717
URS000057DC67_GR_chr1_20444852_20444878_27_-	piRNA	2.331519985247974	2.565415552660079	1.2493380590517122	1.9682361775376822
URS0000679B9D_GR_chr1_20682783_20682870_88_+	precursor_RNA	6.574923428697734	16.265862107970715	77.93587592484418	144.10068336152122
URS000032BD73_GR_chr1_20682834_20682855_22_+	miRNA	5.544002988647438	21.070726942407372	77.71453201301217	143.9630368887529
URS0000170B52_GR_chr1_23117184_23117209_26_-	piRNA	4.3273431351162355	7.9582151215490144	4.43030108063726	10.357084202946085
URS000075D322_GR_chr1_23272269_23272339_71_+	precursor_RNA	235.4954276922105	154.00967781888139	4083.4722850165135	4621.761035294657
URS00006AAD7C_GR_chr1_23272274_23272334_61_+	precursor_RNA	18703.020043235152	20022.823760734416	3922.444589158739	4515.142461915397
URS0000065D58_GR_chr1_23272315_23272336_22_+	miRNA	383.5542309976426	230.10236297904007	155.13013565025128	104.32735571443955
URS000075C326_GR_chr1_23291701_23291784_84_+	precursor_RNA	20.27100695253647	14.158051593831855	1002.050130667412	636.4675356063057
URS0000EFC1EA_GR_chr1_23291713_23291775_63_+	precursor_RNA	12.093121147630011	7.058468857080891	1001.9930832674553	635.8985245968303
URS00006FDBAD_GR_chr1_23291714_23291773_60_+	precursor_RNA	5088.219027791187	2833.700769570981	937.6938178282603	590.1153568591943
URS0000527228_GR_chr1_23291754_23291775_22_+	miRNA	229.9473045716225	145.66386300899248	77.59473247310312	52.97546689740464
URS0000283DA3_GR_chr1_24612702_24612769_68_-	tRNA	3.5446630264562873	6.0365059169484985	176.64613301791994	398.31312578523455
URS00001442F7_GR_chr1_24613120_24613187_68_-	tRNA	7186.765944208618	14697.086361912521	5631.361066053617	11666.028458499288
URS00001F14EC_GR_chr1_24614814_24614878_65_-	tRNA	1416.6614307351022	3332.3528483665505	1645.6600379268914	3519.7861347517933
URS00001FE89F_GR_chr1_24615567_24615636_70_-	tRNA	282.255115422444	317.24253448781883	102.14679246646732	130.98525055073736
