RNAcentral_id	GR	logFC_tumor_vs_normal_FC	P.Value_tumor_vs_normal_FC	adj.P.Val_tumor_vs_normal_FC	logFC_tumor_vs_normal_salmon	P.Value_tumor_vs_normal_salmon	adj.P.Val_tumor_vs_normal_salmon	gene_type	RNA_type	ENSEMBL	GENCODE	NONCODE	ENA	GENECARDS	LNCBOOK	LNCIPEDIA	HGNC	REFSEQ	SNOPY	SRPDB	SILVA	LNCRNADB	GTRNADB	TMRNA_WEB
URS000009262D	chr17_59841311_59841331_21_+	2.908152370747338	2.8082013671892637e-8	3.722787504599634e-5	NA	NA	NA	miRNA	miRNA	NA	NA	NA	NA	MIR21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFD981	chr7_129774927_129774987_61_-	2.6940032762983748	6.5757137455502e-8	3.722787504599634e-5	NA	NA	NA	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075E13C	chr7_129774966_129774987_22_-	2.7114369756104093	6.772809286718558e-8	3.722787504599634e-5	NA	NA	NA	miRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFD807	chr7_129774926_129774988_63_-	2.477891482023228	3.49551151498772e-7	1.4410246220536877e-4	2.381106632223492	1.1924820173427446e-6	7.406401230692699e-4	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00000EEF5F	chr10_103394341_103394361_21_-	3.3392920478233954	9.497924171191772e-7	2.656483885104276e-4	NA	NA	NA	miRNA	miRNA	NA	NA	NA	NA	MIR1307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000D4FD8F	chr10_103394339_103394361_23_-	3.214272746145392	1.059585297399194e-6	2.656483885104276e-4	NA	NA	NA	miRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000564D66	chr14_100874553_100874574_22_+	-2.596501448215264	2.4730595223328217e-6	2.656483885104276e-4	-2.7205512924503346	2.8224747465920262e-6	7.406401230692699e-4	miRNA	miRNA	NA	NA	NA	NA	MIR337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFEDB5	chr14_100874514_100874574_61_+	-2.5884603698133954	2.533360596043006e-6	2.656483885104276e-4	NA	NA	NA	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000069AA59	chr14_100874490_100874585_96_+	-2.5847150311414926	2.5487817799097355e-6	2.656483885104276e-4	NA	NA	NA	precursor_RNA	precursor_RNA	NA	NA	NA	NA	MIR337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075CFEA	chr14_100874493_100874585_93_+	-2.5847150311414926	2.5487817799097355e-6	2.656483885104276e-4	-2.2775276902218957	0.0010265619233843966	0.007190433780879053	precursor_RNA	precursor_RNA	ENSG00000199151.3	MIR337	NA	mir-337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00002620A7	chr17_58331245_58331267_23_-	2.5439282686715945	2.5686435558606634e-6	2.656483885104276e-4	2.9746360055737053	3.436946367299974e-6	7.406401230692699e-4	miRNA	miRNA	NA	NA	NA	miR-142as, MIR142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFD44E	chr17_58331244_58331303_60_-	2.5341855226303	2.749932842761459e-6	2.656483885104276e-4	NA	NA	NA	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFD752	chr17_58331242_58331305_64_-	2.5050554025800187	3.1644407567371577e-6	2.656483885104276e-4	1.7819355727635573	6.87580260422605e-5	0.0020440729829329716	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFD9C0	chr9_70809992_70810052_61_-	-3.3870743852435163	3.308970738881821e-6	2.656483885104276e-4	-3.587876894052414	1.2569207450956744e-5	9.531648983642197e-4	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075AE07	chr17_58331232_58331318_87_-	2.496648717818564	3.313037093555526e-6	2.656483885104276e-4	NA	NA	NA	precursor_RNA	precursor_RNA	ENSG00000284353.1	NA	NA	MIR142, mir-142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000617EF6	chr17_58331245_58331266_22_-	2.4479768207924577	3.4742066812720904e-6	2.656483885104276e-4	1.8357074083231275	8.053332316787599e-5	0.002220767396447489	miRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFE6B7	chr11_72615065_72615124_60_-	-3.474582456943711	3.9661245460470085e-6	2.656483885104276e-4	-3.517310768823033	7.047672732196151e-5	0.0020440729829329716	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000306C33	chr11_72615063_72615130_68_-	-3.474612396738344	3.966730096142062e-6	2.656483885104276e-4	NA	NA	NA	precursor_RNA	precursor_RNA	ENSG00000272036.1	MIR139	NA	mir-139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00006ECD73	chr14_101045918_101045996_79_+	-2.314628693732841	4.436880426808272e-6	2.656483885104276e-4	NA	NA	NA	precursor_RNA	precursor_RNA	NA	NA	NA	NA	MIR381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075A1A8	chr14_101045920_101045994_75_+	-2.314628693732841	4.436880426808272e-6	2.656483885104276e-4	-2.4604168861151736	4.511777300475603e-6	7.406401230692699e-4	precursor_RNA	precursor_RNA	ENSG00000199020.3	MIR381	NA	mir-381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFD56E	chr14_101045926_101045989_64_+	-2.314408921745723	4.4438357306726944e-6	2.656483885104276e-4	NA	NA	NA	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00001FFA8C	chr14_101045968_101045989_22_+	-2.3085206142778487	4.8256575415521395e-6	2.656483885104276e-4	-2.195937736423142	3.143074807417769e-5	0.0013960215536967938	miRNA	miRNA	NA	NA	NA	NA	MIR381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000023BE29	chr11_72615066_72615088_23_-	-3.8244515934798304	4.911848836325171e-6	2.656483885104276e-4	-4.096131958367986	3.991642644920878e-6	7.406401230692699e-4	miRNA	miRNA	NA	NA	NA	NA	MIR139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000060A1F4	chr14_101022071_101022091_21_+	-2.5620645034792657	5.0366938046871355e-6	2.656483885104276e-4	-2.1166840495403028	7.01448928447825e-5	0.0020440729829329716	miRNA	miRNA	NA	NA	NA	NA	MIR379	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFCB87	chr14_101022070_101022129_60_+	-2.560083739397127	5.142678980180396e-6	2.656483885104276e-4	-2.86368172219784	1.674483546908381e-5	0.0011517219003954078	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075EEE5	chr14_101022066_101022132_67_+	-2.5598347344564045	5.153166157165997e-6	2.656483885104276e-4	NA	NA	NA	precursor_RNA	precursor_RNA	ENSG00000199088.5	MIR379	NA	mir-379	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000050DE77	chr21_16539838_16539859_22_+	-2.4448854460597715	5.20918084198075e-6	2.656483885104276e-4	NA	NA	NA	miRNA	miRNA	NA	NA	NA	NA	MIRLET7C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000528CBC	chr7_129774967_129774988_22_-	2.1402093775216393	5.3684917374131364e-6	2.656483885104276e-4	NA	NA	NA	miRNA	miRNA	NA	NA	NA	NA	MIR183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000025D232	chr11_72615102_72615124_23_-	-3.3601928532856506	5.379225285336375e-6	2.656483885104276e-4	NA	NA	NA	miRNA	miRNA	NA	NA	NA	NA	MIR139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000031E12	chr21_16539828_16539911_84_+	-2.42647877831541	5.402621190621604e-6	2.656483885104276e-4	NA	NA	NA	precursor_RNA	precursor_RNA	ENSG00000199030.2	MIRLET7C	NA	let-7c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00002DE03A	chr21_16539832_16539907_76_+	-2.42647877831541	5.402621190621604e-6	2.656483885104276e-4	-2.0900992748113705	7.175704372644425e-4	0.006102701849632174	precursor_RNA	precursor_RNA	NA	NA	NA	NA	MIRLET7C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa_piR_008114_DQ581033	NA	-2.435089242475648	5.402807786516485e-6	2.656483885104276e-4	-2.5435976252457095	9.457523305161895e-6	9.531648983642197e-4	piRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFE150	chr21_16539837_16539904_68_+	-2.426413392728362	5.421075941032823e-6	2.656483885104276e-4	-2.3105124652343623	2.024868786607694e-5	0.0011517219003954078	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000208A34	chr21_16539089_16539169_81_+	-2.4848312331397056	6.067652083465567e-6	2.656483885104276e-4	NA	NA	NA	precursor_RNA	precursor_RNA	ENSG00000207638.1	MIR99A	NA	mir-99a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000660AB2	chr21_16539093_16539164_72_-	-2.4848312331397056	6.067652083465567e-6	2.656483885104276e-4	NA	NA	NA	precursor_RNA	precursor_RNA	NA	NA	NA	NA	RF00104-020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000071CCC6	chr21_16539094_16539165_72_+	-2.4848312331397056	6.067652083465567e-6	2.656483885104276e-4	NA	NA	NA	precursor_RNA	precursor_RNA	NA	NA	NA	NA	MIR99A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFE6EA	chr21_16539100_16539160_61_+	-2.484812133574244	6.068375702177753e-6	2.656483885104276e-4	-2.632923681422481	1.231319725865231e-5	9.531648983642197e-4	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000157026	chr21_16539101_16539122_22_+	-2.4877184545099187	6.121672991750303e-6	2.656483885104276e-4	NA	NA	NA	miRNA	miRNA	NA	NA	NA	NA	MIR99A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075C4DA	chr6_6169334_6169409_76_+	-3.044145379802166	1.0571810623423823e-5	3.9227439549378244e-4	NA	NA	NA	precursor_RNA	precursor_RNA	ENSG00000283616.1	MIR5683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFBB37	chr6_6169342_6169402_61_+	-3.044145379802166	1.0571810623423823e-5	3.9227439549378244e-4	-3.145342000497947	7.078563833225438e-6	9.202132983193069e-4	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000527F89	chr5_149430661_149430683_23_+	-2.456478486153115	1.0648359123975926e-5	3.9227439549378244e-4	-2.500687766530035	1.9631680292006585e-5	0.0011517219003954078	miRNA	miRNA	NA	NA	NA	NA	MIR145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075E023	chr6_6169343_6169366_24_+	-3.0402928126680786	1.0691617167125216e-5	3.9227439549378244e-4	-3.586926362265711	2.2611242883508232e-4	0.003457786867926418	miRNA	miRNA	NA	NA	NA	NA	MIR5683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075A952	chr2_176150330_176150351_22_+	-2.4255466698200365	1.0699684990206067e-5	3.9227439549378244e-4	NA	NA	NA	miRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00006E4867	chr5_149430646_149430732_87_+	-2.4432823202508525	1.1126924584848348e-5	3.9227439549378244e-4	NA	NA	NA	precursor_RNA	precursor_RNA	NA	NA	NA	NA	MIR145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00004F4657	chr5_149430646_149430733_88_+	-2.4432823202508525	1.1126924584848348e-5	3.9227439549378244e-4	-2.032026294691578	2.2798594733580777e-4	0.003457786867926418	precursor_RNA	precursor_RNA	ENSG00000276365.1	MIR145	NA	mir-145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00004FCB5F	chr21_16590292_16590313_22_+	-2.265407718345181	1.1136064913472858e-5	3.9227439549378244e-4	-2.3668975179673684	1.0193365987506183e-5	9.531648983642197e-4	miRNA	miRNA	NA	NA	NA	NA	MIR125B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFDA02	chr5_149430660_149430720_61_+	-2.4433222683717037	1.118065287338252e-5	3.9227439549378244e-4	-2.6629043866436293	3.246648218212808e-5	0.0013960215536967938	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00005D8C46	chr2_176150329_176150349_21_+	-2.301734134551447	1.2563860178765e-5	4.3162094655798923e-4	NA	NA	NA	miRNA	miRNA	NA	NA	NA	mir-10b	MIR10B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00001925C1	chr21_16590290_16590311_22_+	-2.143102096740554	1.82235525887625e-5	5.928462316188638e-4	-2.362432780224552	2.3841218045213573e-4	0.003459015827493483	miRNA	miRNA	NA	NA	NA	NA	MIR125B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00006E2A34	chr13_21139886_21139957_72_-	3.796948715142699	1.838370313675485e-5	5.928462316188638e-4	3.2867541235099655	7.410638856020926e-4	0.0061347918455236725	snoRNA	snoRNA	ENSG00000252128.1	AL158032.1	NA	NA	ENSG00000252128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00006284D8	chr14_100884483_100884576_94_+	-2.5157543506947175	1.8801649809781072e-5	5.928462316188638e-4	NA	NA	NA	precursor_RNA	precursor_RNA	ENSG00000272458.1	MIR432	NA	mir-432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000046820B	chr2_176150329_176150350_22_+	-2.5211335944204745	1.8869728552488847e-5	5.928462316188638e-4	NA	NA	NA	miRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000164B86	chr11_62853904_62853968_65_-	1.9524434303599785	1.9385091981054363e-5	5.928462316188638e-4	1.93858116645709	2.0250055391567612e-5	0.0011517219003954078	snoRNA	snoRNA	NA	NA	NA	UHG	SNORD29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFBD9F	chr2_176150329_176150389_61_+	-2.5090055541881107	2.1028153858352202e-5	5.928462316188638e-4	-2.4819715516922987	3.374997162783457e-5	0.0013960215536967938	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000680F44	chr2_176150322_176150396_75_+	-2.509024187691411	2.1028206257612727e-5	5.928462316188638e-4	NA	NA	NA	precursor_RNA	precursor_RNA	NA	NA	NA	NA	MIR10B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000068F7DB	chr2_176150321_176150395_75_-	-2.5090231105686875	2.102827878302437e-5	5.928462316188638e-4	NA	NA	NA	precursor_RNA	precursor_RNA	NA	NA	NA	NA	RF00104-019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
