smallRNA	logFC_Spheroid_Mono	CI.L_Spheroid_Mono	CI.R_Spheroid_Mono	AveExpr_Spheroid_Mono	t_Spheroid_Mono	P.Value_Spheroid_Mono	adj.P.Val_Spheroid_Mono	B_Spheroid_Mono
URS000051BA34_GR_chr1_16514123_16514171_49_-	5.8303752579852555	5.375101534406406	6.285648981564105	8.05947626745908	31.96681316002799	1.6667185445444413e-7	9.195272984152153e-5	7.9941440892200895
URS000075EECB_GR_chr14_75604209_75604261_53_+	4.143056813145314	3.7344118236041473	4.551701802686481	9.138928792456582	25.30755157451817	6.042909924909982e-7	9.195272984152153e-5	7.105846339220667
URS0000416117_GR_chr11_76235513_76235587_75_+	-4.58446167279372	-5.047776265552031	-4.12114708003541	8.263412514830488	-24.699478700984407	6.908570689975574e-7	9.195272984152153e-5	6.957229743671764
URS000049DAFB_GR_chr21_8210893_8210923_31_+	4.938133006892783	4.415401801734756	5.46086421205081	9.306551798880538	23.580867434396215	8.915053482140878e-7	9.195272984152153e-5	6.770904697103749
URS0000405AD1_GR_chrX_63786053_63786075_23_-	-2.241459796391151	-2.4831335907073946	-1.9997860020749076	12.001909373006043	-23.151376254195558	9.863224631069278e-7	9.195272984152153e-5	6.688502355579355
hsa_piR_017936_DQ594740	4.731274799458014	4.217508760241568	5.245040838674461	7.620704203170318	22.98731251288507	1.025647432491339e-6	9.195272984152153e-5	6.527282694158116
URS0000EFDAAF_GR_chr11_34941850_34941909_60_+	-6.5845113227414425	-7.315005913483716	-5.8540167319991685	2.3315563792547698	-22.499971323981974	1.1538368849332148e-6	9.195272984152153e-5	5.446725242896178
URS0000164B86_GR_chr11_62853904_62853968_65_-	2.694657319948215	2.394330852258701	2.9949837876377288	9.282370291731457	22.396768227840347	1.1833547717117945e-6	9.195272984152153e-5	6.515289723318658
URS0000708227_GR_chr7_22856613_22856686_74_+	2.901188738732822	2.568769826540935	3.233607650924709	10.417586453407289	21.78540706382155	1.3776460592567084e-6	9.195272984152153e-5	6.383626167281051
hsa_piR_008112_DQ581031	-2.4574405766777234	-2.744902010546378	-2.1699791428090687	8.326255035503264	-21.33923556249508	1.5433961952503128e-6	9.195272984152153e-5	6.260495400541894
hsa_piR_020365_DQ597975	7.4026569891633365	6.534280677388324	8.271033300938349	10.668475776271741	21.279189321975046	1.5674533804585643e-6	9.195272984152153e-5	6.242307428460401
URS0000700FD3_GR_chr15_25056860_25056954_95_+	3.4533146768144203	3.0425395175709276	3.864089836057913	8.2395758308523	20.984924058220802	1.6919358232300832e-6	9.195272984152153e-5	6.153725596821734
URS000071A62C_GR_chr15_25070432_25070526_95_+	3.4533146768144203	3.0425395175709276	3.864089836057913	8.2395758308523	20.984924058220802	1.6919358232300832e-6	9.195272984152153e-5	6.153725596821734
hsa_piR_017791_DQ594556	5.7803822734133785	5.091747921724025	6.469016625102732	5.8814833382937035	20.95285934014028	1.706191778189616e-6	9.195272984152153e-5	5.864747267608633
hsa_piR_019675_DQ596992	6.039850161617582	5.314555179261675	6.765145143973489	10.01920949195177	20.786765265535546	1.7823425474204326e-6	9.195272984152153e-5	6.116718315518522
URS00004A7BA1_GR_chr21_8212566_8212588_23_+	-2.8176310219757656	-3.1590206523961446	-2.4762413915553867	12.991390387187085	-20.60199203415404	1.8718112944838988e-6	9.195272984152153e-5	5.960628896029199
URS000098604A_GR_chr2_202346276_202346373_98_-	4.194463730826849	3.67211768399073	4.716809777662967	10.13898170529741	20.044422639236732	2.175694292198031e-6	9.678251786532343e-5	5.928286981559653
hsa_piR_016735_DQ593039	2.8612024415985786	2.4974447587582262	3.224960124438931	13.543094150837032	19.634137695626208	2.4367920846115775e-6	9.678251786532343e-5	5.648444056985248
