smallRNA	logFC_tumor_vs_normal	CI.L_tumor_vs_normal	CI.R_tumor_vs_normal	AveExpr_tumor_vs_normal	t_tumor_vs_normal	P.Value_tumor_vs_normal	adj.P.Val_tumor_vs_normal	B_tumor_vs_normal
URS000009262D_GR_chr17_59841311_59841331_21_+	2.908152370747338	2.267204504832229	3.549100236662447	5.7194904057849785	9.569059506998794	2.8082013671892637e-8	3.722787504599634e-5	9.301360107478972
URS0000EFD981_GR_chr7_129774927_129774987_61_-	2.6940032762983748	2.0641355023470154	3.323871050249734	9.026978166340097	9.020353019213362	6.5757137455502e-8	3.722787504599634e-5	8.50561812830075
URS000075E13C_GR_chr7_129774966_129774987_22_-	2.7114369756104093	2.076179757179702	3.346694194041117	8.853998489037835	9.00170361242563	6.772809286718558e-8	3.722787504599634e-5	8.478254947681787
URS0000EFD807_GR_chr7_129774926_129774988_63_-	2.477891482023228	1.8250200758452289	3.130762888201227	10.329699991686986	8.004412073573587	3.49551151498772e-7	1.4410246220536877e-4	6.897187007488135
URS00000EEF5F_GR_chr10_103394341_103394361_21_-	3.3392920478233954	2.3955573695154655	4.283026726131325	4.119490987828854	7.468366676999095	9.497924171191772e-7	2.656483885104276e-4	5.938119002766453
URS0000D4FD8F_GR_chr10_103394339_103394361_23_-	3.214272746145392	2.2952469545023155	4.133298537788468	4.513503289450715	7.377233973849219	1.059585297399194e-6	2.656483885104276e-4	5.827755426329675
URS0000564D66_GR_chr14_100874553_100874574_22_+	-2.596501448215264	-3.3894589880516355	-1.8035439083788924	2.842821411733972	-6.905791151228178	2.4730595223328217e-6	2.656483885104276e-4	5.009865578691486
URS0000EFEDB5_GR_chr14_100874514_100874574_61_+	-2.5884603698133954	-3.3804510226581788	-1.7964697169686121	2.8524151536124522	-6.892809375073217	2.533360596043006e-6	2.656483885104276e-4	4.98675382279424
URS000069AA59_GR_chr14_100874490_100874585_96_+	-2.5847150311414926	-3.375934894753941	-1.793495167529044	2.9531399539072507	-6.889541024730789	2.5487817799097355e-6	2.656483885104276e-4	4.980964244364725
URS000075CFEA_GR_chr14_100874493_100874585_93_+	-2.5847150311414926	-3.375934894753941	-1.793495167529044	2.9531399539072507	-6.889541024730789	2.5487817799097355e-6	2.656483885104276e-4	4.980964244364725
URS00002620A7_GR_chr17_58331245_58331267_23_-	2.5439282686715945	1.7647211600133095	3.3231353773298795	6.818463314984119	6.885361696553984	2.5686435558606634e-6	2.656483885104276e-4	4.960579469197119
URS0000EFD44E_GR_chr17_58331244_58331303_60_-	2.5341855226303	1.7538072424576532	3.3145638028029465	6.849980895520462	6.848698314715867	2.749932842761459e-6	2.656483885104276e-4	4.893787313108623
URS0000EFD752_GR_chr17_58331242_58331305_64_-	2.5050554025800187	1.7250866093274122	3.285024195832625	6.8854768252866405	6.773527718027683	3.1644407567371577e-6	2.656483885104276e-4	4.756245420067361
URS0000EFD9C0_GR_chr9_70809992_70810052_61_-	-3.3870743852435163	-4.4389916580439746	-2.3351571124430577	1.5483738697357974	-6.79998099538488	3.308970738881821e-6	2.656483885104276e-4	4.738815134878411
URS000075AE07_GR_chr17_58331232_58331318_87_-	2.496648717818564	1.7164778125453122	3.276819623091816	6.890280517297162	6.749047649741295	3.313037093555526e-6	2.656483885104276e-4	4.711305698373727
URS0000617EF6_GR_chr17_58331245_58331266_22_-	2.4479768207924577	1.6801375487912091	3.2158160927937063	6.5707833698249045	6.72375351432127	3.4742066812720904e-6	2.656483885104276e-4	4.6660491848485135
URS0000EFE6B7_GR_chr11_72615065_72615124_60_-	-3.474582456943711	-4.547636929067444	-2.401527984819978	5.050503978961675	-6.869619385482652	3.9661245460470085e-6	2.656483885104276e-4	4.587740628408493
URS0000306C33_GR_chr11_72615063_72615130_68_-	-3.474612396738344	-4.547689675413977	-2.4015351180627107	5.050515321900968	-6.869532575544874	3.966730096142062e-6	2.656483885104276e-4	4.58759207154034
URS00006ECD73_GR_chr14_101045918_101045996_79_+	-2.314628693732841	-3.0549007885339052	-1.5743565989317765	4.730418823135578	-6.594240128553853	4.436880426808272e-6	2.656483885104276e-4	4.436084769843866
URS000075A1A8_GR_chr14_101045920_101045994_75_+	-2.314628693732841	-3.0549007885339052	-1.5743565989317765	4.730418823135578	-6.594240128553853	4.436880426808272e-6	2.656483885104276e-4	4.436084769843866
URS0000EFD56E_GR_chr14_101045926_101045989_64_+	-2.314408921745723	-3.0547034078749795	-1.5741144356164667	4.730296243568333	-6.593414577328153	4.4438357306726944e-6	2.656483885104276e-4	4.434558362034354
URS00001FFA8C_GR_chr14_101045968_101045989_22_+	-2.3085206142778487	-3.051821456872825	-1.5652197716828726	4.674564043267301	-6.5500397519992974	4.8256575415521395e-6	2.656483885104276e-4	4.354540900028601
URS000023BE29_GR_chr11_72615066_72615088_23_-	-3.8244515934798304	-5.026739403610426	-2.622163783349235	2.8600331387460094	-6.748582264364221	4.911848836325171e-6	2.656483885104276e-4	4.388401201835634
URS000060A1F4_GR_chr14_101022071_101022091_21_+	-2.5620645034792657	-3.389841501908992	-1.7342875050495397	8.160873265767789	-6.527569566066477	5.0366938046871355e-6	2.656483885104276e-4	4.297895499251625
URS0000EFCB87_GR_chr14_101022070_101022129_60_+	-2.560083739397127	-3.3886066950418323	-1.731560783752422	8.1771062348407	-6.516650493855559	5.142678980180396e-6	2.656483885104276e-4	4.277465952992177
URS000075EEE5_GR_chr14_101022066_101022132_67_+	-2.5598347344564045	-3.3884128625197496	-1.7312566063930594	8.177306687056713	-6.515582774817649	5.153166157165997e-6	2.656483885104276e-4	4.275466360415727
URS000050DE77_GR_chr21_16539838_16539859_22_+	-2.4448854460597715	-3.2369449683557536	-1.6528259237637895	9.564507751228307	-6.509917721782565	5.20918084198075e-6	2.656483885104276e-4	4.272231217128181
URS0000528CBC_GR_chr7_129774967_129774988_22_-	2.1402093775216393	1.4451704976809705	2.8352482573623083	9.133804766184836	6.49414478932998	5.3684917374131364e-6	2.656483885104276e-4	4.239621265806383
URS000025D232_GR_chr11_72615102_72615124_23_-	-3.3601928532856506	-4.4245922310309975	-2.2957934755403033	4.657995019519864	-6.6974798171951315	5.379225285336375e-6	2.656483885104276e-4	4.294304648772054
URS0000031E12_GR_chr21_16539828_16539911_84_+	-2.42647877831541	-3.214886991197223	-1.6380705654335967	9.629762964780952	-6.490828905324615	5.402621190621604e-6	2.656483885104276e-4	4.236824094191443
URS00002DE03A_GR_chr21_16539832_16539907_76_+	-2.42647877831541	-3.214886991197223	-1.6380705654335967	9.629762964780952	-6.490828905324615	5.402621190621604e-6	2.656483885104276e-4	4.236824094191443
hsa_piR_008114_DQ581033	-2.435089242475648	-3.22629735832496	-1.643881126626336	9.596025144498544	-6.490810836176338	5.402807786516485e-6	2.656483885104276e-4	4.236660019202567
