smallRNA	logFC_Spheroid_Mono_FC	logFC_Spheroid_Mono_salmon	adj.P.Val_Spheroid_Mono_FC	adj.P.Val_Spheroid_Mono_salmon	file	transcript_id	exon_rank	Target_gene_name	gene_type
URS000049DAFB_GR_chr21_8210893_8210923_31_+	4.048979775641647	5.145563136158364	1.586724978260028e-4	0.002010928419969267	NA	NA	NA	NA	NA
hsa_piR_020365_DQ597975	3.434141333012959	7.286662389395013	1.586724978260028e-4	0.0030047381036733614	NA	NA	NA	NA	NA
URS0000441811_GR_chr21_8210896_8210927_32_+	3.1758676825010514	2.6067565673967508	1.586724978260028e-4	0.00273621119604698	NA	NA	NA	NA	NA
hsa_piR_004987_DQ576872	3.450751412488154	NA	1.586724978260028e-4	NA	NA	NA	NA	NA	NA
URS0000336885_GR_chr20_29298646_29298674_29_-	5.453240604261832	6.015019677376573	1.586724978260028e-4	0.002821738001485103	NA	NA	NA	NA	NA
hsa_piR_004152_DQ575658	5.6925485351209355	NA	1.586724978260028e-4	NA	UTR3	ENST00000263707.6	ENSE00001071543.7	TFCP2L1	protein_coding
URS00005A619D_GR_chr11_109603197_109603223_27_+	4.404703804072009	NA	1.586724978260028e-4	NA	NA	NA	NA	NA	NA
URS0000315291_GR_chr11_109603197_109603224_28_+	4.380211428623204	NA	1.586724978260028e-4	NA	NA	NA	NA	NA	NA
URS00005B0D1D_GR_chr11_109603197_109603222_26_+	4.353598444395412	NA	1.586724978260028e-4	NA	UTR5	ENST00000290894.12	ENSE00001525915.1	SHF	protein_coding
hsa_piR_017936_DQ594740	3.3261542586224717	4.769329097156749	1.8975620381905825e-4	0.00273621119604698	NA	NA	NA	NA	NA
hsa_piR_001312_DQ571813	3.6336450043059347	NA	1.8975620381905825e-4	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
hsa_piR_020619_DQ598378	5.181568285216955	5.372492093774888	1.8975620381905825e-4	0.0027936711284866104	NA	NA	NA	NA	NA
hsa_piR_005019_DQ576918	-2.9874930968375235	NA	1.8975620381905825e-4	NA	NA	NA	NA	NA	NA
hsa_piR_010983_DQ584817	5.282116843611232	NA	1.8975620381905825e-4	NA	CDS	ENST00000433835.3	5	AP000350.4	protein_coding
hsa_piR_010983_DQ584817	5.282116843611232	NA	1.8975620381905825e-4	NA	CDS	ENST00000215754.8	2	MIF	protein_coding
URS000025C8A1_GR_chr2_27050845_27050871_27_+	-2.9864018022890093	-2.6019996421682823	1.8975620381905825e-4	0.0027936711284866104	NA	NA	NA	NA	NA
URS000009C1FC_GR_chr6_26575631_26575660_30_+	-2.925071591365125	-1.7669463063144057	1.8975620381905825e-4	0.007007897786102541	NA	NA	NA	NA	NA
hsa_piR_018570_DQ595536	3.6556874793320073	NA	1.8975620381905825e-4	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
URS0000303544_GR_chr1_161523884_161523914_31_-	3.6277931603715325	NA	2.0056312005941164e-4	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
hsa_piR_018569_DQ595533	3.5977891955361576	NA	2.0056312005941164e-4	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
URS000016F8FA_GR_chr1_161523885_161523914_30_-	3.691977327396625	NA	2.0855912338622602e-4	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
URS00001A10BC_GR_chr1_161523885_161523913_29_-	3.710153242296516	NA	2.0855912338622602e-4	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
hsa_piR_016084_DQ591949	5.1357038511879445	NA	2.2290390417051474e-4	NA	CDS	ENST00000576380.5	6	P4HB	protein_coding
hsa_piR_016084_DQ591949	5.1357038511879445	NA	2.2290390417051474e-4	NA	CDS	ENST00000570907.5	4	P4HB	protein_coding
hsa_piR_016084_DQ591949	5.1357038511879445	NA	2.2290390417051474e-4	NA	CDS	ENST00000331483.9	7	P4HB	protein_coding
hsa_piR_016084_DQ591949	5.1357038511879445	NA	2.2290390417051474e-4	NA	CDS	ENST00000439918.6	6	P4HB	protein_coding
hsa_piR_016084_DQ591949	5.1357038511879445	NA	2.2290390417051474e-4	NA	CDS	ENST00000415593.5	3	P4HB	protein_coding
hsa_piR_016084_DQ591949	5.1357038511879445	NA	2.2290390417051474e-4	NA	UTR3	ENST00000575069.5	ENSE00003554035.1	P4HB	protein_coding
hsa_piR_008683_DQ581788	4.664379941622989	NA	2.2290390417051474e-4	NA	NA	NA	NA	NA	NA
hsa_piR_000775_DQ570968	2.942583263138563	4.246826483608913	2.2290390417051474e-4	0.007312829097596324	NA	NA	NA	NA	NA
hsa_piR_005336_DQ577346	6.6447713234456325	NA	2.421503976385651e-4	NA	NA	NA	NA	NA	NA
hsa_piR_007444_DQ580140	5.630658097113929	NA	2.46770033926754e-4	NA	NA	NA	NA	NA	NA
hsa_piR_019675_DQ596992	5.775029092124237	5.983416852946726	2.46770033926754e-4	0.0028956891737031004	NA	NA	NA	NA	NA
hsa_piR_000578_DQ570720	6.618773485483256	NA	2.46770033926754e-4	NA	NA	NA	NA	NA	NA
hsa_piR_008488_DQ581533	4.044712985442917	4.691839629664259	2.46770033926754e-4	0.002884215588012957	UTR3	ENST00000454967.1	ENSE00001662349.1	SAMD13	protein_coding
URS00003F0F42_GR_chr21_8210897_8210926_30_+	3.854508713499186	5.226163311596225	2.4829741470305035e-4	0.007007897786102541	NA	NA	NA	NA	NA
hsa_piR_020490_DQ598167	4.14868859042148	2.7360757361275443	2.4829741470305035e-4	0.019907856085313355	NA	NA	NA	NA	NA
URS00002FF4FF_GR_chr21_8218734_8218764_31_+	4.726680200729895	NA	2.516501845961557e-4	NA	NA	NA	NA	NA	NA
URS00001FA156_GR_chrY_3137061_3137100_40_+	3.4816060029590914	NA	2.7422743534823705e-4	NA	NA	NA	NA	NA	NA
hsa_piR_007979_DQ580854	4.10872980726144	4.426276005392815	2.94533248804168e-4	0.003628364400564643	NA	NA	NA	NA	NA
hsa_piR_016735_DQ593039	1.9835831363494556	2.995325487618537	3.1630229772827776e-4	0.00273621119604698	NA	NA	NA	NA	NA
hsa_piR_017184_DQ593752	4.606685423509936	4.187655025429492	3.219101589949469e-4	0.0028326931725503267	NA	NA	NA	NA	NA
URS00000C0E02_GR_chr11_85483985_85484011_27_+	2.0247631295157715	NA	3.27739022117802e-4	NA	NA	NA	NA	NA	NA
hsa_piR_020499_DQ598183	1.6553328589333045	NA	3.27739022117802e-4	NA	NA	NA	NA	NA	NA
hsa_piR_001311_DQ571812	3.5970404163264744	NA	3.292188085825316e-4	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
hsa_piR_006613_DQ579049	7.603607576744509	NA	3.596077484835771e-4	NA	UTR3	ENST00000449131.6	ENSE00002154582.1	BEST1	protein_coding
hsa_piR_000753_DQ570940	3.312566898270304	3.6446507892069686	3.596077484835771e-4	0.00273621119604698	NA	NA	NA	NA	NA
hsa_piR_015026_DQ590548	1.5001700930715183	NA	4.0161092415982836e-4	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
URS00004B251C_GR_chr11_66348120_66348149_30_+	1.9696111876581308	NA	4.11526305816088e-4	NA	NA	NA	NA	NA	NA
