smallRNA	logFC_Tumour_Normal	CI.L_Tumour_Normal	CI.R_Tumour_Normal	AveExpr_Tumour_Normal	t_Tumour_Normal	P.Value_Tumour_Normal	adj.P.Val_Tumour_Normal	B_Tumour_Normal
URS000009262D_GR_chr17_59841311_59841331_21_+	2.857233240168771	2.2704722693021875	3.4439942110353545	5.9906768653960505	10.249081962109873	7.845616635842222e-9	1.0452560164067073e-5	10.49674740662692
URS0000EFD981_GR_chr7_129774927_129774987_61_-	2.673317092951402	2.0899074472791925	3.2567267386236116	9.036012166071343	9.644447667090828	1.957878958366887e-8	1.0452560164067073e-5	9.648057685705192
URS000075E13C_GR_chr7_129774966_129774987_22_-	2.690915499681113	2.102854096162828	3.2789769031993976	8.862982810317526	9.631143969834469	1.9985774692288857e-8	1.0452560164067073e-5	9.629885410566022
URS0000EFD807_GR_chr7_129774926_129774988_63_-	2.4504221013630065	1.8472300645292181	3.053614138196795	10.33876927591847	8.550387401177177	1.1389902286291797e-7	4.467689171797957e-5	7.960382046831132
URS00000EEF5F_GR_chr10_103394341_103394361_21_-	3.3609993752853957	2.511568743647937	4.210430006922855	4.1285872612102255	8.328005519283854	1.6583729424354771e-07	5.1167961476151415e-5	7.595228245816437
URS0000D4FD8F_GR_chr10_103394339_103394361_23_-	3.2309462906061643	2.4047849320799006	4.057107649132428	4.522599562832085	8.231241640203224	1.9567098078834194e-7	5.1167961476151415e-5	7.441026200628835
URS00002620A7_GR_chr17_58331245_58331267_23_-	2.590736825561737	1.8908283235783525	3.2906453275451213	6.827481158272917	7.790808332652405	4.218514472331354e-7	5.468989045269177e-5	6.703868720267289
URS0000EFD44E_GR_chr17_58331244_58331303_60_-	2.5810171746628843	1.8799840231488976	3.282050326176871	6.859043236786624	7.749127903119153	4.5425856209655124e-7	5.468989045269177e-5	6.632049595666167
URS0000EFD752_GR_chr17_58331242_58331305_64_-	2.550973148993001	1.8500342191031454	3.2519120788828566	6.894512856814806	7.659954622888228	5.326081788261705e-7	5.468989045269177e-5	6.477518052678954
URS000075AE07_GR_chr17_58331232_58331318_87_-	2.5423178206407275	1.8410689916137097	3.2435666496677453	6.899301530966128	7.630591130679279	5.61388195877722e-7	5.468989045269177e-5	6.426378503915205
URS0000617EF6_GR_chr17_58331245_58331266_22_-	2.4939695169024736	1.8038190815784443	3.184119952226503	6.579805497856997	7.605851913778275	5.868917550587143e-7	5.468989045269177e-5	6.383477683357191
