smallRNA	logFC_tumor_vs_normal	CI.L_tumor_vs_normal	CI.R_tumor_vs_normal	AveExpr_tumor_vs_normal	t_tumor_vs_normal	P.Value_tumor_vs_normal	adj.P.Val_tumor_vs_normal	B_tumor_vs_normal
URS0000EFD807_GR_chr7_129774926_129774988_63_-	2.381106632223492	1.769738333953565	2.9924749304934193	12.251999122079054	8.403663531365709	1.1924820173427446e-6	7.406401230692699e-4	5.862106825834668
URS0000564D66_GR_chr14_100874553_100874574_22_+	-2.7205512924503346	-3.4754800130251358	-1.9656225718755331	5.513925583204973	-7.775775199752175	2.8224747465920262e-6	7.406401230692699e-4	5.024274683062661
URS00002620A7_GR_chr17_58331245_58331267_23_-	2.9746360055737053	2.1341857422785937	3.815086268868817	8.480359648218757	7.63685489808899	3.436946367299974e-6	7.406401230692699e-4	4.826211159301958
URS000023BE29_GR_chr11_72615066_72615088_23_-	-4.096131958367986	-5.269492276147385	-2.9227716405885866	4.1816194662981205	-7.532432849638837	3.991642644920878e-6	7.406401230692699e-4	4.658371702510036
URS000075A1A8_GR_chr14_101045920_101045994_75_+	-2.4604168861151736	-3.1732412857079164	-1.7475924865224308	5.986643451327317	-7.447643299198511	4.511777300475603e-6	7.406401230692699e-4	4.569775674595318
URS00000AF93C_GR_chr17_59841266_59841337_72_+	2.211532224027759	1.5660949216428777	2.8569695264126405	7.535589694284229	7.39319117721629	4.883341470786396e-6	7.406401230692699e-4	4.485190346485231
URS0000EFBB37_GR_chr6_6169342_6169402_61_+	-3.145342000497947	-4.095713059491525	-2.1949709415043683	1.3602996834748344	-7.141137540573708	7.078563833225438e-6	9.202132983193069e-4	4.016229018161202
hsa_piR_008114_DQ581033	-2.5435976252457095	-3.333492826245953	-1.753702424245466	11.725679301459152	-6.948189614165889	9.457523305161895e-6	9.531648983642197e-4	3.831250593389777
URS00004FCB5F_GR_chr21_16590292_16590313_22_+	-2.3668975179673684	-3.107180203432382	-1.6266148325023546	4.4163501267186644	-6.898816424234519	1.0193365987506183e-5	9.531648983642197e-4	3.782659705769321
URS00006C1298_GR_chr12_6943818_6943878_61_+	3.4028024740788183	2.3312957117002537	4.474309236457383	1.9106513682706787	6.852271304038864	1.0942644498946793e-5	9.531648983642197e-4	3.570933667089598
URS0000EFE6EA_GR_chr21_16539100_16539160_61_+	-2.632923681422481	-3.4714285403506406	-1.7944188224943214	10.479765038382759	-6.775251379320391	1.231319725865231e-5	9.531648983642197e-4	3.566115624435845
URS0000EFD9C0_GR_chr9_70809992_70810052_61_-	-3.587876894052414	-4.732765571103399	-2.442988217001429	2.0739612451358846	-6.761872836787216	1.2569207450956744e-5	9.531648983642197e-4	3.567171733545279
URS0000EFCB87_GR_chr14_101022070_101022129_60_+	-2.86368172219784	-3.803167357968875	-1.9241960864268048	8.799314496647275	-6.576992238873547	1.674483546908381e-5	0.0011517219003954078	3.259445184673357
URS0000527F89_GR_chr5_149430661_149430683_23_+	-2.500687766530035	-3.3339138753126707	-1.6674616577473995	10.437287869879627	-6.475738839643287	1.9631680292006585e-5	0.0011517219003954078	3.1022843947706615
URS0000EFE150_GR_chr21_16539837_16539904_68_+	-2.3105124652343623	-3.0827092229044486	-1.538315707564276	7.165011782925425	-6.456141915839098	2.024868786607694e-5	0.0011517219003954078	3.0773132940780776
URS0000164B86_GR_chr11_62853904_62853968_65_-	1.93858116645709	1.2906833421412434	2.5864789907729366	6.62177770929864	6.4560991844583935	2.0250055391567612e-5	0.0011517219003954078	3.079447766992992
URS0000EFE4D0_GR_chr2_176150328_176150390_63_+	-2.5295129845224773	-3.404392576122297	-1.6546333929226573	6.147637416787694	-6.238516863924752	2.865367446100462e-5	0.0013960215536967938	2.7476790726536713
URS0000EFE028_GR_chr10_103394299_103394361_63_-	1.8303901895713253	1.1954268310093834	2.465353548133267	7.488627575436016	6.219962138512971	2.952345922712198e-5	0.0013960215536967938	2.7027933776816626
URS00001FFA8C_GR_chr14_101045968_101045989_22_+	-2.195937736423142	-2.962485049363481	-1.4293904234828028	5.888729936687881	-6.181214041949268	3.143074807417769e-5	0.0013960215536967938	2.6671271094705418
URS0000EFDA02_GR_chr5_149430660_149430720_61_+	-2.6629043866436293	-3.5954782268947265	-1.730330546392532	8.082123440129235	-6.1611966469837185	3.246648218212808e-5	0.0013960215536967938	2.6050841907647397
URS0000EFE3D6_GR_chr11_122099768_122099830_63_-	-2.1632283314131193	-2.9236732681806683	-1.4027833946455703	9.781241038107826	-6.138006100356236	3.371149056254236e-5	0.0013960215536967938	2.562460449131021
URS0000EFBD9F_GR_chr2_176150329_176150389_61_+	-2.4819715516922987	-3.3545649175621843	-1.609378185822413	16.59985666795584	-6.13730375771186	3.374997162783457e-5	0.0013960215536967938	2.5911391613945396
URS00004E0FA9_GR_chr11_62853663_62853732_70_-	1.793375111221188	1.1510573438330702	2.4356928786093057	13.216798885356136	6.024401792056652	4.0579362875507575e-5	0.0016055313137700825	2.391986303198916
