smallRNA	logFC_Spheroid_Mono	CI.L_Spheroid_Mono	CI.R_Spheroid_Mono	AveExpr_Spheroid_Mono	t_Spheroid_Mono	P.Value_Spheroid_Mono	adj.P.Val_Spheroid_Mono	B_Spheroid_Mono
URS000049DAFB_GR_chr21_8210893_8210923_31_+	4.031580320263575	3.9094261091584404	4.153734531368709	9.579893077019866	79.83832721501149	1.0458999048111296e-10	1.5259679611194382e-7	15.188779886808305
URS000013CF05_GR_chr12_127166393_127166411_19_-	4.507455176827899	4.334364180115062	4.680546173540736	9.732906681304454	62.99433470765539	4.644932160476362e-10	3.388478011067506e-7	14.014950854362793
URS0000336885_GR_chr20_29298646_29298674_29_-	5.54447554890889	5.285775529966129	5.8031755678516515	9.676815240667711	51.845201622183474	1.580903859711722e-9	4.698244921248527e-7	12.89967040807936
URS000075B3BD_GR_chrX_109054542_109054590_49_+	6.1318379072185145	5.845614374769869	6.41806143966716	10.958231713647447	51.8238751412059	1.5849976971979144e-9	4.698244921248527e-7	12.991671635223074
hsa_piR_004987_DQ576872	3.4129331534386456	3.243913084259333	3.5819532226179582	11.584433271947697	48.84656884252676	2.2989414726973024e-9	4.698244921248527e-7	12.650026970980997
URS00000A3335_GR_chr1_75787889_75787972_84_+	3.6516649018241996	3.4675908302374987	3.8357389734109004	6.644005622359048	47.98912752899444	2.5695619807901987e-9	4.698244921248527e-7	12.207002314458473
URS00008295AD_GR_chr1_75787889_75787971_83_+	3.65211118687374	3.467766995549865	3.8364553781976154	6.643026312361867	47.92466536558098	2.59135721612076e-9	4.698244921248527e-7	12.200153601449452
URS000044BAE3_GR_chr1_146038044_146038115_72_+	1.7886089694114986	1.6981970027453008	1.8790209360776964	13.573227127155903	47.855740834762734	2.6148984951620564e-9	4.698244921248527e-7	12.390252840251264
hsa_piR_020365_DQ597975	3.370748236053049	3.197549077917068	3.54394739418903	8.77698882824766	47.07876860528876	2.8981634195501537e-9	4.698244921248527e-7	12.368119317672448
URS000051BA34_GR_chr1_16514123_16514171_49_-	4.084354078541239	3.84028118081736	4.328426976265117	9.78259691216105	40.48073441975669	7.481283267741672e-9	9.169836798189246e-7	11.474290134022944
hsa_piR_019675_DQ596992	5.926197317218839	5.563407194686837	6.288987439750841	9.59472805431764	39.51529322294853	8.705218631993749e-9	9.169836798189246e-7	11.306740345446455
URS0000315291_GR_chr11_109603197_109603224_28_+	4.277870825991795	4.005742319041065	4.549999332942525	7.408171487245127	38.02753575451529	1.10758327089865e-8	9.169836798189246e-7	10.996779402163298
URS00005A619D_GR_chr11_109603197_109603223_27_+	4.3001043157879195	4.025883225181577	4.574325406394262	7.349464458107372	37.93348058150243	1.1249281355672067e-8	9.169836798189246e-7	10.977065943907952
URS000098604A_GR_chr2_202346276_202346373_98_-	4.338348560396323	4.0608257004837265	4.6158714203089195	7.311537984706518	37.815533816382846	1.1471253588915036e-8	9.169836798189246e-7	10.949206969252067
