sncRNA	gene_type	aCM_1_salmon	aCM_2_salmon	aCM_1_fc	aCM_2_fc
URS0000262786_GR_chr11_87422994_87423030_37_+	piRNA	3397.7417909671326	2131.8504820403664	1836.5223830140205	1266.711716514692
mmu_piR_039147	piRNA	3248.9480055324234	4184.486586888286	524.9923894775139	739.423845745533
mmu_piR_005109_DQ555094	piRNA	2276.4735851720097	2574.627300992629	615.1021805531177	634.9588435583252
URS00003768C5_GR_chr14_115044476_115044497_22_+	piRNA	2175.8708933753633	1711.3526364539537	1029.8105364343407	928.2574650957728
URS0000513774_GR_chr11_74319886_74319911_26_+	piRNA	1228.8507022484378	771.3444503694393	12.777476642301485	12.599529495526186
mmu_piR_032974_DQ719597	piRNA	1143.788818398468	570.5737655062118	291.99141193836914	157.2529664091092
mmu_piR_034793_DQ722288	piRNA	913.1283808511672	639.3126474939108	372.3403928813817	273.7268104724831
URS000039BE50_GR_chr4_80003920_80003950_31_-	piRNA	728.7440586208263	1063.7604425197735	244.87025957413562	426.17298863964317
mmu_piR_025007_DQ708131	piRNA	660.3587773253912	578.793257475859	258.53425281176425	228.13331307133902
mmu_piR_000580_DQ540862	piRNA	402.47771524723936	377.5197023894593	104.95352454433691	105.45995858091909
mmu_piR_012107_DQ689086	piRNA	393.07454514677715	284.80961294258526	81.91093875382697	64.05980136198497
URS00004212D8_GR_chr16_33001982_33002021_40_+	piRNA	354.75304382012126	114.7601129422887	154.77073703052406	89.47996177386206
URS00001FFF53_GR_chr17_39847737_39847775_39_+	piRNA	314.75279391761427	316.4377591186492	577.6448577415491	777.550834871866
URS0000273971_GR_chr16_33001992_33002022_31_+	piRNA	243.11265943141794	187.5460878078788	25.929184228318917	27.251833947140682
URS00001BAFD0_GR_chr17_39848186_39848205_20_+	piRNA	214.93905736615835	346.55182264097573	55.36107881397917	94.94138363433143
URS000009E3F4_GR_chr13_9834306_9834336_31_-	piRNA	197.6183707963829	410.59188072867556	580.7151488072186	1307.5829644524374
URS000019EE51_GR_chr12_99645147_99645177_31_+	piRNA	196.3553543542937	191.93897681355799	103.72700544526788	114.30726690539053
URS000008244F_GR_chr11_109011748_109011778_31_-	piRNA	172.8036654618371	208.9197413591324	151.03869612535678	181.76487686681415
mmu_piR_000802_DQ541470	piRNA	146.9940605566413	331.92618675509516	453.3271637559102	886.3706679849254
mmu_piR_032901_DQ719488	piRNA	141.84179575202074	358.52717933771265	54.346776042749056	122.24090612321861
URS000005DA8B_GR_chr1_193632896_193632917_22_+	piRNA	125.47164587535818	283.2316617765465	35.785833992837404	76.28974465897572
