smallRNA	TCGA-BH-A0BT-01A-11R-A12O-13_mirna_gdc_realn_fc	TCGA-BH-A0BT-11A-21R-A12O-13_mirna_gdc_realn_fc	TCGA-BH-A18L-01A-32R-A12C-13_mirna_gdc_realn_fc	TCGA-BH-A18L-11A-42R-A12C-13_mirna_gdc_realn_fc	TCGA-BH-A1FC-01A-11R-A13P-13_mirna_gdc_realn_fc	TCGA-BH-A1FC-11A-32R-A13P-13_mirna_gdc_realn_fc	TCGA-BH-A1FG-01A-11R-A13P-13_mirna_gdc_realn_fc	TCGA-BH-A1FG-11B-12R-A13P-13_mirna_gdc_realn_fc	TCGA-BH-A1FU-01A-11R-A14C-13_mirna_gdc_realn_fc	TCGA-BH-A1FU-11A-23R-A14C-13_mirna_gdc_realn_fc	TCGA-E9-A1N4-01A-11R-A14L-13_mirna_gdc_realn_fc	TCGA-E9-A1N4-11A-33R-A14L-13_mirna_gdc_realn_fc	TCGA-E9-A1N5-01A-11R-A14C-13_mirna_gdc_realn_fc	TCGA-E9-A1N5-11A-41R-A14C-13_mirna_gdc_realn_fc	TCGA-GI-A2C8-01A-11R-A16E-13_mirna_gdc_realn_fc	TCGA-GI-A2C8-11A-22R-A16E-13_mirna_gdc_realn_fc	TCGA-GI-A2C9-01A-11R-A21U-13_mirna_gdc_realn_fc	TCGA-GI-A2C9-11A-22R-A21U-13_mirna_gdc_realn_fc	TCGA-BH-A0BT-01A-11R-A12O-13_mirna_gdc_realn_salmon	TCGA-BH-A0BT-11A-21R-A12O-13_mirna_gdc_realn_salmon	TCGA-BH-A18L-01A-32R-A12C-13_mirna_gdc_realn_salmon	TCGA-BH-A18L-11A-42R-A12C-13_mirna_gdc_realn_salmon	TCGA-BH-A1FC-01A-11R-A13P-13_mirna_gdc_realn_salmon	TCGA-BH-A1FC-11A-32R-A13P-13_mirna_gdc_realn_salmon	TCGA-BH-A1FG-01A-11R-A13P-13_mirna_gdc_realn_salmon	TCGA-BH-A1FG-11B-12R-A13P-13_mirna_gdc_realn_salmon	TCGA-BH-A1FU-01A-11R-A14C-13_mirna_gdc_realn_salmon	TCGA-BH-A1FU-11A-23R-A14C-13_mirna_gdc_realn_salmon	TCGA-E9-A1N4-01A-11R-A14L-13_mirna_gdc_realn_salmon	TCGA-E9-A1N4-11A-33R-A14L-13_mirna_gdc_realn_salmon	TCGA-E9-A1N5-01A-11R-A14C-13_mirna_gdc_realn_salmon	TCGA-E9-A1N5-11A-41R-A14C-13_mirna_gdc_realn_salmon	TCGA-GI-A2C8-01A-11R-A16E-13_mirna_gdc_realn_salmon	TCGA-GI-A2C8-11A-22R-A16E-13_mirna_gdc_realn_salmon	TCGA-GI-A2C9-01A-11R-A21U-13_mirna_gdc_realn_salmon	TCGA-GI-A2C9-11A-22R-A21U-13_mirna_gdc_realn_salmon
hsa_piR_018849_DQ595899	11004.598634007554	5376.878939988594	2186.398084640621	2067.2590840608045	6859.739736182377	2660.1865298440757	8996.18297341948	2153.960497423443	6018.149961710917	2780.0007044450585	11057.627697222662	2951.2102048284387	14931.311771948254	1590.3390369269591	9862.7193105095	2591.3913846858213	5753.41195198763	702.5320332824904	36401.537062262694	21876.495381891087	7428.549537019338	7255.524245316038	19501.015819790788	9185.395061492582	28130.911916617475	7989.163652563444	24516.72790348529	10311.911895938429	52736.484373529616	15011.13980674716	53222.85451415129	5008.074880062896	37435.89014999255	7622.82125705476	22884.943734761695	3186.9113508010687
hsa_piR_008113_DQ581032	2716.1076080520497	5038.282385344781	1960.2053064509932	2012.689618657496	1073.061008063028	2349.576255447684	1374.4093404900814	1787.5186148361424	1074.969799683746	2927.2271651066258	2487.9795059904413	1520.3507524379977	1440.046119840643	1289.126525659926	3670.926247690021	1254.9381363286914	1821.675545460588	3461.501810661807	14026.649009028151	10347.41267666486	5977.035817177394	798.4255139891104	4133.799802491543	3674.8867302576455	568.466890671713	971.724213916502	1141.5549800103931	2181.784024080192	2391.94275572438	18403.11758647431	462.516933240938	874.7008486656159	15312.257068418909	1623.9201025497664	12865.212063234272	23065.737477596813
hsa_piR_008114_DQ581033	587.1192825725016	2707.76008226208	286.54430464860496	1831.3133654078772	87.98841645978865	1947.737495598503	214.04620835613625	1528.2423421639794	853.0153098311039	2543.103716991639	395.3707322090488	1348.9540552503263	261.0318245857867	1078.949223116852	1392.401363917296	524.8118025474741	290.16942640322395	3046.771572655182	2237.6469476839625	12793.16164520264	1089.550552487906	7644.014622053885	301.60549448916413	8007.827562467088	766.9402389726353	6683.39744214412	4137.980409921485	11333.57030549748	2053.101898490183	7738.417551865136	1075.1519660830074	4061.1442051417407	6604.9522601815115	2323.1271233841353	1245.943330385493	16500.660872539524
hsa_piR_008112_DQ581031	1203.2111024384749	2200.6305423846293	919.348421034706	689.6538354981242	1601.593772896476	1176.3725242482171	380.58050071528834	570.8875675214662	485.6639914818944	839.6576076448013	838.8323775655997	483.5639894525876	562.0250098050296	424.6955049845408	3445.10569197075	1816.71128728429	639.9034586247659	1087.2846588792083	1104.704191045062	3342.4693815912683	1708.0816890405574	1587.56002806022	1314.6215353292464	2578.236271646079	712.8983599470705	1408.2634924840188	909.4618769055696	1951.0356549255569	2969.4469176001276	2164.6719582095807	949.6398051273276	688.1893130415602	3995.592719174596	1006.006899692072	1377.1215226928234	3519.1579276343145
hsa_piR_016735_DQ593039	88.74345395257397	90.54851625476492	133.3403423115253	129.6766652711458	186.13121607636904	157.47987377372053	82.58440309782132	185.3544702116813	137.67996782473506	78.07704810236845	265.2216514907812	116.48713153661951	43.183730181798595	156.6316838506885	116.17278708825424	617.7283672359011	71.32148439268403	105.82710105858273	1034.959321598513	1009.132640096341	1901.9077922363608	1177.2549070775278	2479.530468749139	1556.0627020266616	726.5332725667961	1937.5148002115384	2361.612239777419	764.948807328482	2678.474326759002	1807.5599305913563	567.7682270822855	1651.2883506630135	1300.5824726900678	7337.493990232774	1161.547088627423	1359.2516349491657
hsa_piR_009294_DQ582566	355.1168714778052	162.98913703516337	422.8601948674177	632.2479281351233	351.55953583437724	214.02683338285348	355.0214007316491	226.04904704847635	329.8614893020983	268.19211886365565	577.5253833630475	208.41366794996208	292.6737033452045	337.73320301735055	113.4630618153152	156.44138757344808	100.04441559468552	63.90162704831336	262.01501782404455	234.2792122760154	358.5074474184001	476.62927980732667	402.2576825569273	256.16903938467397	290.4571494958576	308.5198369084367	443.6545176503448	314.9789208951368	970.7336888261286	329.0359616610485	324.1231382023053	324.6616501537342	107.90858900585134	166.9973039087269	107.57713021557645	92.10988064097256
URS00004EB1FA_GR_chr7_145997391_145997421_31_+	106.6931756021677	23.154605111565186	136.84963511732718	40.49592086656568	160.21163272848324	31.337535102306585	118.61723211585202	40.96264977079635	40.59519571458646	21.918002210748575	23.17901886322446	41.75576771426024	33.7006148597477	69.29242449747771	85.0188949769227	78.7410151446755	98.79535908861132	17.089467892414017	360.5825722975201	96.324916402807	467.6066101463681	130.32073455232563	509.17353998886904	105.09499063320176	340.0378720143917	150.04237266452324	167.28502373525893	80.53808846634246	119.42242285757668	228.9452822319156	122.0436374382168	211.12256889980733	357.07403730140584	298.8372806110755	438.3500007935754	89.74404529759782
URS000009F893_GR_chr10_68755209_68755236_28_+	55.983706092933765	43.79338780697462	121.03224887332576	80.5376766649292	29.940595082018778	88.43674830767608	263.6638740777998	63.66594000606095	35.867720104027	160.87723723958192	101.00395037754517	128.3555595085715	42.71131489307555	45.59417383101491	93.55994903722652	21.27472861936305	31.337360364429017	55.68564387017039	188.71318244214808	175.25635031265668	411.9066665932733	278.23655526207284	98.09439581777782	302.3015171900121	813.0102779410985	235.3544455095962	146.07787428244882	600.1254842869936	470.7291359720125	635.7119240325771	151.56256745970677	144.7008876034871	371.8594537881371	78.7710211560329	123.62478522885364	250.2218312355217
hsa_piR_000441_DQ570540	62.44756349065867	6.673708565011957	35.85998659480618	9.24490611223785	37.25192809198964	2.746033399217677	7.362621365150081	1.8074195756376203	15.03513666882837	2.430723387625217	4.8366049356415886	7.445806002399853	6.787861780073133	26.119023879813412	0.8410987247202744	0.5844705664660177	7.245601422771419	1.6186796291966976	888.6669529847401	95.41304817836244	549.83693113304	124.49610204695576	523.6387650298808	29.229228350882636	89.40109766826086	21.47103992669935	273.37552764965744	31.30196896897116	58.0047662110215	130.60319460937603	99.49178240305967	380.38913369816623	10.193104312847934	7.457577364922754	120.97905811562612	21.16216920061217
hsa_piR_018780_DQ595807	25.366028623104544	47.71325003861371	64.69819150077197	55.129509444465974	10.110098886592052	91.23229409828048	184.40565522442472	94.3395636604982	20.919161253913092	213.99701448579273	64.25154520790937	156.82585350643785	27.618889616502692	23.863169522846785	69.78229041553809	16.8926249088349	42.577079439861784	50.57189781269958	83.90719008255542	192.0421038137814	225.5258799897582	192.20488224477072	33.52147338523578	313.3144388105701	573.4967086634344	346.3499403321171	86.801970411602	826.2490511670386	304.8115156387512	797.22711690662	99.93428174733153	78.39052645201568	283.53309378188965	63.92240959446735	176.91255525925175	232.64053816793776
