sRNA	TCGA-BH-A0BT-01A-11R-A12O-13_mirna_gdc_realn	TCGA-BH-A0BT-11A-21R-A12O-13_mirna_gdc_realn	TCGA-BH-A18L-01A-32R-A12C-13_mirna_gdc_realn	TCGA-BH-A18L-11A-42R-A12C-13_mirna_gdc_realn	TCGA-BH-A1FC-01A-11R-A13P-13_mirna_gdc_realn	TCGA-BH-A1FC-11A-32R-A13P-13_mirna_gdc_realn	TCGA-BH-A1FG-01A-11R-A13P-13_mirna_gdc_realn	TCGA-BH-A1FG-11B-12R-A13P-13_mirna_gdc_realn	TCGA-BH-A1FU-01A-11R-A14C-13_mirna_gdc_realn	TCGA-BH-A1FU-11A-23R-A14C-13_mirna_gdc_realn	TCGA-E9-A1N4-01A-11R-A14L-13_mirna_gdc_realn	TCGA-E9-A1N4-11A-33R-A14L-13_mirna_gdc_realn	TCGA-E9-A1N5-01A-11R-A14C-13_mirna_gdc_realn	TCGA-E9-A1N5-11A-41R-A14C-13_mirna_gdc_realn	TCGA-GI-A2C8-01A-11R-A16E-13_mirna_gdc_realn	TCGA-GI-A2C8-11A-22R-A16E-13_mirna_gdc_realn	TCGA-GI-A2C9-01A-11R-A21U-13_mirna_gdc_realn	TCGA-GI-A2C9-11A-22R-A21U-13_mirna_gdc_realn
hsa_piR_013426_DQ588205	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
URS000075C233_GR_chr1_17369_17391_23_-	0	0	0.4	0	0	2	0	0	0	0	0	0	0	0	0.4	0.4	0	1.2
URS000075A3E2_GR_chr1_17369_17436_68_-	0.22	0	0.62	0	0.25	2	0	0	0	0.22	0	0	0	0.22	0.62	0.4	0.67	1.87
URS0000759D8E_GR_chr1_17409_17431_23_-	0.22	0	0.22	0	0	0	0	0	0	0.22	0	0	0	0.22	0.22	0	0.67	0.44
hsa_piR_005239_DQ577218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000664B70_GR_chr1_30408_30457_50_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000442977_GR_chr1_30438_30458_21_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_019669_DQ596983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000027D32E_GR_chr1_64457_64484_28_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00003CC116_GR_chr1_72723_72750_28_-	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0
