sRNA	aCM_1	aCM_2
URS000004AE36_GR_chr1_3001697_3001719_23_-	0	0
URS000019433D_GR_chr1_3001697_3001724_28_-	0.05	0.22
URS000025081F_GR_chr1_3001798_3001823_26_-	0.07	0.03
URS000020E1F9_GR_chr1_3001860_3001880_21_+	0.35	1
URS0000343F14_GR_chr1_3002060_3002085_26_-	2.14	0
URS00000EA631_GR_chr1_3015187_3015212_26_-	0.07	0.04
URS00001F8046_GR_chr1_3015228_3015255_28_+	0	0
URS0000499335_GR_chr1_3015667_3015691_25_-	0.08	0
URS00005D39AC_GR_chr1_3015758_3015782_25_-	0.09	0.04
URS00000FA3B0_GR_chr1_3015986_3016010_25_+	1.2	0.03
URS00003114EB_GR_chr1_3016222_3016245_24_+	0	0.64
URS00005F76E2_GR_chr1_3016597_3016621_25_+	1.05	0.8
URS000005973F_GR_chr1_3016794_3016824_31_-	0	0.06
URS00005B3F7E_GR_chr1_3016801_3016829_29_+	0	0.02
URS000015C737_GR_chr1_3016806_3016830_25_+	0.05	0
URS000036132F_GR_chr1_3016809_3016830_22_-	0	0
URS00001E4996_GR_chr1_3016948_3016972_25_+	0.11	0
URS0000245671_GR_chr1_3017093_3017119_27_+	0	0
URS00005EF0E8_GR_chr1_3017343_3017367_25_+	0.57	0
URS00000E80C0_GR_chr1_3017785_3017811_27_-	0.08	0.05
URS00003343AB_GR_chr1_3017786_3017812_27_+	0.09	0.17
URS000052D18A_GR_chr1_3017932_3017951_20_+	0.02	0
URS00004F71D4_GR_chr1_3017975_3018002_28_+	0.04	0
URS00002AAE86_GR_chr1_3017998_3018024_27_-	0	0
URS0000276733_GR_chr1_3018537_3018565_29_+	0.11	0.89
URS00004FD32E_GR_chr1_3019065_3019090_26_-	0	0
URS000061A834_GR_chr1_3019102_3019125_24_-	0.4	0
URS00005EA7E4_GR_chr1_3019486_3019509_24_+	0	0.08
URS00005AF36A_GR_chr1_3019486_3019511_26_+	0.02	0.16
URS00004E9247_GR_chr1_3019549_3019568_20_-	0.08	0.23
URS00002FCE56_GR_chr1_3019553_3019581_29_+	0.35	0.29
URS0000023062_GR_chr1_3019836_3019865_30_-	0.31	0.36
URS00003D3CAF_GR_chr1_3020083_3020108_26_-	0	0.08
URS000043F5D1_GR_chr1_3022544_3022563_20_-	0	0
URS00003AFF4D_GR_chr1_3022545_3022568_24_-	0	0
URS000057007E_GR_chr1_3022549_3022566_18_-	0	0
URS000047670B_GR_chr1_3022722_3022750_29_+	0.05	0
URS00000C3E3A_GR_chr1_3023278_3023297_20_+	0.2	0.16
URS00003B47B8_GR_chr1_3023519_3023542_24_-	0	0
URS00002B3D99_GR_chr1_3023812_3023841_30_+	0.73	0.75
URS000041438D_GR_chr1_3024426_3024451_26_-	0.45	0.64
URS00001DE8E6_GR_chr1_3024431_3024452_22_+	0	0
URS00003971C9_GR_chr1_3024431_3024457_27_+	0	0
URS00003FA474_GR_chr1_3024529_3024559_31_+	0.5	0.61
URS00000B3CB4_GR_chr1_3024695_3024721_27_-	0.06	0.05
URS000031E089_GR_chr1_3026822_3026852_31_+	0	1.4
URS0000595400_GR_chr1_3029485_3029514_30_-	0.14	0
URS00004476C3_GR_chr1_3031416_3031445_30_-	0	0.01
URS00005AAFC7_GR_chr1_3031418_3031445_28_-	0	0.01
URS0000352DE9_GR_chr1_3031534_3031561_28_+	0	0.2
URS00005396E5_GR_chr1_3031561_3031585_25_-	0	0
URS00001494D1_GR_chr1_3031575_3031603_29_-	0	0
URS000022564F_GR_chr1_3031627_3031655_29_-	0	0
URS0000036D21_GR_chr1_3031630_3031658_29_+	0	0
URS0000281381_GR_chr1_3031630_3031659_30_+	0	0
URS00002AE362_GR_chr1_3031646_3031672_27_+	0	0
URS00005C978C_GR_chr1_3031647_3031673_27_+	0	0
URS000034B7D3_GR_chr1_3031648_3031675_28_+	0	0
URS00003FEE5D_GR_chr1_3031658_3031682_25_-	0	0
URS0000515CD0_GR_chr1_3031665_3031690_26_-	0	0
URS00001495C8_GR_chr1_3031667_3031690_24_-	0	0
URS000027EF21_GR_chr1_3038348_3038370_23_+	0.05	0.1
URS0000418E24_GR_chr1_3038450_3038477_28_-	0	0
URS0000511A66_GR_chr1_3038694_3038723_30_-	0.22	0.53
URS00002869DB_GR_chr1_3039061_3039087_27_+	0.19	0.02
URS000001867F_GR_chr1_3039067_3039090_24_-	1.15	0.33
