seq_piBNK	seq_id	gene_type_piRNAs	gene_id	gene_type_genes	gene_name	type_piRNAs	type_genes
chr1_1043558_1043583_26_+	hsa_piR_018846_DQ595896	piRNA	ENSG00000188157.15	protein_coding	AGRN	exon	exon
chr1_1327806_1327833_28_+	hsa_piR_014022_DQ589164	piRNA	ENSG00000224051.7	protein_coding	CPTP	exon	exon
chr1_1328610_1328640_31_+	hsa_piR_008681_DQ581785	piRNA	ENSG00000224051.7	protein_coding	CPTP	exon	exon
chr1_1564225_1564252_28_-	URS000029E2B7_GR_chr1_1564225_1564252_28_-	piRNA	ENSG00000160075.12	protein_coding	SSU72	exon	exon
chr1_1564332_1564360_29_-	hsa_piR_002168_DQ572906	piRNA	ENSG00000160075.12	protein_coding	SSU72	exon	exon
chr1_1564521_1564549_29_-	hsa_piR_014183_DQ589379	piRNA	ENSG00000160075.12	protein_coding	SSU72	exon	exon
chr1_1655341_1655369_29_-	hsa_piR_020563_DQ598283	piRNA	ENSG00000248333.8	protein_coding	CDK11B	exon	exon
chr1_1665659_1665687_29_-	URS0000512D8E_GR_chr1_1665659_1665687_29_-	piRNA	ENSG00000189339.12	protein_coding	SLC35E2B	exon	exon
chr1_1721568_1721596_29_-	hsa_piR_020563_DQ598283	piRNA	ENSG00000008128.23	protein_coding	CDK11A	exon	exon
chr1_1729069_1729096_28_-	hsa_piR_023276_DQ601835	piRNA	ENSG00000215790.7	protein_coding	SLC35E2A	exon	exon
chr1_1754320_1754350_31_-	hsa_piR_004533_DQ576235	piRNA	ENSG00000008130.15	protein_coding	NADK	exon	exon
chr1_2027591_2027615_25_+	URS000018F142_GR_chr1_2027591_2027615_25_+	piRNA	ENSG00000187730.9	protein_coding	GABRD	exon	exon
chr1_2150830_2150855_26_+	hsa_piR_005525_DQ577590	piRNA	ENSG00000067606.17	protein_coding	PRKCZ	exon	exon
chr1_2171579_2171608_30_+	URS0000040AC6_GR_chr1_1357584_1357613_30_-	piRNA	ENSG00000067606.17	protein_coding	PRKCZ	exon	exon
chr1_2308656_2308682_27_+	hsa_piR_000028_DQ569962	piRNA	ENSG00000157933.10	protein_coding	SKI	exon	exon
chr1_2399410_2399437_28_+	URS00001FD0CA_GR_chr1_2399410_2399437_28_+	piRNA	ENSG00000157916.20	protein_coding	RER1	exon	exon
chr1_2403524_2403551_28_+	hsa_piR_003168_DQ574300	piRNA	ENSG00000157916.20	protein_coding	RER1	exon	exon
chr1_2404468_2404493_26_+	hsa_piR_009217_DQ582482	piRNA	ENSG00000157916.20	protein_coding	RER1	exon	exon
chr1_3795892_3795919_28_-	hsa_piR_011719_DQ585862	piRNA	ENSG00000130764.10	protein_coding	LRRC47	exon	exon
chr1_3890767_3890792_26_-	hsa_piR_022734_DQ601098	piRNA	ENSG00000198912.11	protein_coding	C1orf174	exon	exon
chr1_3895392_3895418_27_-	hsa_piR_011725_DQ585868	piRNA	ENSG00000198912.11	protein_coding	C1orf174	exon	exon
chr1_4787498_4787523_26_+	hsa_piR_012727_DQ587211	piRNA	ENSG00000196581.11	protein_coding	AJAP1	exon	exon
chr1_6095393_6095421_29_+	URS00000DF693_GR_chr1_6095393_6095421_29_+	piRNA	ENSG00000069424.15	protein_coding	KCNAB2	exon	exon
chr1_6571033_6571061_29_+	hsa_piR_016330_DQ592253	piRNA	ENSG00000173662.21	protein_coding	TAS1R1	exon	exon
chr1_6592386_6592414_29_-	hsa_piR_019829_DQ597226	piRNA	ENSG00000162413.16	protein_coding	KLHL21	exon	exon
chr1_6592453_6592479_27_-	hsa_piR_013546_DQ588480	piRNA	ENSG00000162413.16	protein_coding	KLHL21	exon	exon
chr1_6593930_6593956_27_-	hsa_piR_010100_DQ583600	piRNA	ENSG00000162413.16	protein_coding	KLHL21	exon	exon
chr1_6602524_6602552_29_-	hsa_piR_011839_DQ586011	piRNA	ENSG00000162413.16	protein_coding	KLHL21	exon	exon
chr1_6620183_6620208_26_+	hsa_piR_022310_DQ600530	piRNA	ENSG00000116273.6	protein_coding	PHF13	exon	exon
chr1_6621538_6621566_29_+	hsa_piR_003311_DQ574492	piRNA	ENSG00000116273.6	protein_coding	PHF13	exon	exon
chr1_6622396_6622424_29_+	hsa_piR_001852_DQ572478	piRNA	ENSG00000116273.6	protein_coding	PHF13	exon	exon
chr1_6622444_6622473_30_+	hsa_piR_018563_DQ595526	piRNA	ENSG00000116273.6	protein_coding	PHF13	exon	exon
chr1_6622738_6622765_28_+	hsa_piR_009158_DQ582404	piRNA	ENSG00000116273.6	protein_coding	PHF13	exon	exon
chr1_6623548_6623577_30_+	hsa_piR_003614_DQ574924	piRNA	ENSG00000116273.6	protein_coding	PHF13	exon	exon
chr1_7962814_7962839_26_+	hsa_piR_013330_DQ588074	piRNA	ENSG00000116288.13	protein_coding	PARK7	exon	exon
chr1_7962814_7962841_28_+	hsa_piR_013331_DQ588075	piRNA	ENSG00000116288.13	protein_coding	PARK7	exon	exon
chr1_7977713_7977738_26_+	hsa_piR_011422_DQ585430	piRNA	ENSG00000116288.13	protein_coding	PARK7	exon	exon
chr1_8354059_8354084_26_-	hsa_piR_000234_DQ570251	piRNA	ENSG00000142599.19	protein_coding	RERE	exon	exon
chr1_9035874_9035902_29_-	hsa_piR_015142_DQ590695	piRNA	ENSG00000142583.18	protein_coding	SLC2A5	exon	exon
chr1_9128726_9128751_26_-	hsa_piR_004840_DQ576660	piRNA	ENSG00000180758.12	protein_coding	GPR157	exon	exon
chr1_9247054_9247083_30_+	URS00001C4A27_GR_chr1_9247054_9247083_30_+	piRNA	ENSG00000049239.13	protein_coding	H6PD	exon	exon
chr1_9264835_9264861_27_+	hsa_piR_016070_DQ591934	piRNA	ENSG00000049239.13	protein_coding	H6PD	exon	exon
chr1_9266733_9266759_27_+	hsa_piR_017412_DQ594069	piRNA	ENSG00000049239.13	protein_coding	H6PD	exon	exon
chr1_9927736_9927777_42_-	URS000056C375_GR_chr1_9927736_9927777_42_-	piRNA	ENSG00000162441.12	protein_coding	LZIC	exon	exon
chr1_9929193_9929222_30_-	hsa_piR_021784_DQ599841	piRNA	ENSG00000162441.12	protein_coding	LZIC	exon	exon
chr1_10305960_10305988_29_+	URS0000049768_GR_chr1_10305960_10305988_29_+	piRNA	ENSG00000054523.17	protein_coding	KIF1B	exon	exon
chr1_10377607_10377635_29_+	hsa_piR_005898_DQ578101	piRNA	ENSG00000054523.17	protein_coding	KIF1B	exon	exon
chr1_10379131_10379157_27_+	hsa_piR_011844_DQ586018	piRNA	ENSG00000054523.17	protein_coding	KIF1B	exon	exon
chr1_10379163_10379191_29_+	URS0000341796_GR_chr1_10379163_10379191_29_+	piRNA	ENSG00000054523.17	protein_coding	KIF1B	exon	exon
chr1_10379864_10379892_29_+	hsa_piR_011333_DQ585306	piRNA	ENSG00000054523.17	protein_coding	KIF1B	exon	exon
chr1_11013757_11013785_29_+	hsa_piR_007421_DQ580109	piRNA	ENSG00000120948.18	protein_coding	TARDBP	exon	exon
