GeneIDs	Non_treated_COLO205_1	Non_treated_COLO205_2	Non_treated_COLO205_3	Non_treated_Testis_1	Treated_COLO205_1	Treated_COLO205_2	Treated_COLO205_3	Treated_testis_1	COLO205_dil_A_NT_1	COLO205_dil_B_NT_1	COLO205_dil_C_NT_1	Non_treated_Testis_2	Non_treated_Testis_3
SS_22	141.17704106633462	95.83977801809262	90.19778271220618	10666.699741470855	4.43723984707994	15.30082331390953	8.926329888860232	405.5598840560663	142097.93918403232	13871.801395544438	1606.5588102578595	0	0
SS_28	2109.5944393125073	1477.1087811681818	1122.2894915484012	28522.01244563075	99.83788106234157	257.64612778687297	121.81815392666395	49.41696048708063	426968.5192551119	24027.10916400935	2556.10977374529	0	0
mSS_28	5998.609734343632	3219.6313912828946	1606.9808784497868	28410.453413405186	291922.0215524537	267587.7133147398	135974.7895561636	17713.065603456682	146790.57968868772	13558.311690408778	1669.2670269572343	0	0
mSS_22	33.142078609716194	29.079969757829655	16.00652724077618	1014.4667344551649	2156.4982421818713	3964.3940382659007	1912.860075856191	1585.3786090134965	23754.575097530225	1250.063802744454	206.90854815824895	0	0
UniSp100	16.365707351424348	29.198181074053185	34.389694131851165	141.37990474805682	1323.7763567926456	2982.6734526436294	3357.3503531237156	138.5647989943201	16.726792917152814	14.812860663545017	14.927126958221624	0	0
UniSp101	529.8930113591123	1412.949620862468	1224.6568164323996	4141.647623426901	39159.62183107879	124466.77073006248	119101.39988500708	4636.943194405679	878.2790102117535	833.5332429757491	930.2671155210428	0	0
UniSp102	408.4582454855222	1047.7359373102774	1118.1375301458975	6182.4277415136885	37481.11285472965	96639.01476137355	117165.43636642353	6963.486527413441	968.2773135684482	968.3833884179295	1009.2594713203171	0	0
UniSp103	2.251045227546851	8.718080562011409	9.649731032489148	55.77951611277947	172.55930091247373	592.7835212286275	785.5170677368432	42.06271256271568	8.322598933804686	10.091629688808395	10.570405950055376	0	0
UniSp104	3.5742946930491564	7.535967900960352	9.993341663809792	18.754098095603776	372.2350649742765	746.285333074135	733.0092419922368	14.529124591424003	9.872886852700134	7.790029915286872	10.784670330295542	0	0
UniSp105	15.46833141693951	28.48891317671201	45.84338121434608	197.3451051143064	1149.98448796457	2554.7439674572543	3365.2265256723063	161.88314691480417	37.61488530120797	34.228920874133074	37.2106847339886	0	0
UniSp106	1.3992981655119079	4.137394063086589	3.9515217890425447	12.886479225910568	103.04255493093918	295.1578235636889	263.06420364145237	7.085190503781314	1.2239122263291666	2.065538054352041	1.4284332874610373	0	0
UniSp107	37.06619813377322	65.93232954788247	69.15163366396864	186.31546665311595	2387.727707302963	4933.775250606095	4732.530298457468	147.62308045679686	32.06648501075874	30.56996706755029	34.71092671665448	0	0
UniSp108	3.68076322061847	8.895397035162476	10.079244086067538	75.16493978519117	210.02932176786965	1048.8467789415724	992.3978986944609	95.9639708776041	19.745775207269432	15.343999247621932	21.426497426134056	0	0
UniSp109	69.06754392630624	158.1075582665984	89.0810483959865	440.7398767695021	5989.286842726469	8610.908666318468	9074.927452645474	596.7703379307186	51.077913783352166	54.53021167944344	69.064744875721	0	0
UniSp110	1.4753474447812942	3.221256863538471	3.6079111577219036	11.103911277588125	89.97734936024366	242.83887762771522	231.55950969537417	6.457388786503232	1.5502879188954488	2.360614919259476	2.7854444862481844	0	0
UniSp111	4.8975441585514625	9.190925325721297	10.88100253991225	71.0427520131264	471.8264320660737	1018.2451323137533	1407.2097179499654	52.645654880332245	9.13854041802413	9.855569105856583	10.927513564752571	0	0
UniSp112	12.897881185944502	38.9801624797079	32.58573855299021	315.84872310970434	944.145892073236	3564.104749675513	3058.0557475049736	281.52420965317026	17.134763659262536	20.242275659572414	24.997581116232027	0	0
UniSp113	14.342808803166083	30.35074040486413	29.493243342249265	258.806555843309	686.2929936810233	3229.4609321643406	2706.7783948117594	343.49720377297945	37.85966744609997	35.999382063577684	53.709088214128286	0	0
UniSp114	0.38024407930779636	0.6797145671010623	0.5726845425826756	4.567829980392981	27.856001186722697	89.33706578220765	67.73509592336794	3.4977521702517826	0.8159414842194443	0.7081840212907751	0.3571085575879473	0	0
UniSp115	16.54822457900326	43.14710937185036	43.180399057183536	168.2669687206985	928.3690425121512	2188.0177755265167	2304.5684523843433	91.3899872429351	17.624327949046535	16.229229842344235	17.49830612133889	0	0
UniSp116	9.810298520512672	29.02086409971789	34.61876804311319	191.03184403628498	574.3759609930438	2238.3624205159927	2797.0918547923457	164.39435378391647	27.089245561506107	28.32738243976672	38.28200946386169	0	0
UniSp117	5.931808448165322	9.190925325721297	14.030766346254907	27.704073802919655	324.4114864128137	713.2158095692361	949.3414815088494	16.591901356980664	8.893758273132129	8.793291937702751	8.78486410500639	0	0
UniSp118	31.18001855805779	80.82694787428368	77.65599561129244	378.7213732800892	3115.9279578122237	8384.85133702058	9542.772176315719	583.1380728335729	50.343565846807	48.2745812344317	58.280074545425464	0	0
UniSp119	5.323417689568934	12.17575955681271	16.35013787209682	112.97023166694123	242.81558880564126	1072.5383764203946	1086.3869056142748	80.62767259876304	5.629993838123511	8.439199927057365	8.284912312961414	0	0
UniSp120	8.715195734298959	26.39066331611284	24.654060677104262	97.5955843295219	288.4205474435641	880.0441437821555	1026.0029073210774	36.05375352335157	9.056946870349849	6.668737601395087	9.213393808377475	0	0
UniSp121	2.829016158583528	4.3147110374218816	6.070454172568103	29.93228307457993	270.1785639883949	551.3232235588159	447.8917492119868	27.802645748291845	4.079705919228062	3.127815222505873	3.928191304795164	0	0
UniSp122	4.578139155103305	9.190925325721297	13.171739767953305	43.04158340465461	475.5241319386403	1445.6810443453774	2113.4399702756214	52.645654880332245	11.831145513705305	8.439199927057365	9.784767689096341	0	0
UniSp123	214.86835359945388	910.3449021881678	748.412523353881	10005.552789465908	15106.087766949711	79945.81620390194	71817.57809661448	11763.747844138617	856.0038170041516	743.1216795242037	800.708225494367	0	0
