piRNA_id	logFC_tumor_vs_normal_FC	P.Value_tumor_vs_normal_FC	adj.P.Val_tumor_vs_normal_FC	logFC_tumor_vs_normal_salmon	P.Value_tumor_vs_normal_salmon	adj.P.Val_tumor_vs_normal_salmon	gene_type	file	Gene_stable_ID	Gene_stable_ID_version	Transcript_stable_ID	Transcript_stable_ID_version	Target_gene_name	Target_gene_type
URS0000068EE0_GR_chr5_181188458_181188488_31_-	2.117104903691185	6.513699572999119e-4	0.004670039389511107	NA	NA	NA	piRNA	CDS	ENSG00000283696	ENSG00000283696.1	ENST00000636161	ENST00000636161.1	AL592295.4	lncRNA
URS0000303544_GR_chr1_161523884_161523914_31_-	1.4403244203906977	0.0023073817589847325	0.012002752430807015	NA	NA	NA	piRNA	CDS	ENSG00000279123	ENSG00000279123.1	ENST00000623856	ENST00000623856.1	AC027281.1	TEC
URS0000303544_GR_chr1_161523884_161523914_31_-	1.4403244203906977	0.0023073817589847325	0.012002752430807015	NA	NA	NA	piRNA	CDS	ENSG00000143226	ENSG00000143226.15	ENST00000467525	ENST00000467525.5	FCGR2A	protein_coding
URS0000303544_GR_chr1_161523884_161523914_31_-	1.4403244203906977	0.0023073817589847325	0.012002752430807015	NA	NA	NA	piRNA	UTR3	ENSG00000143226	ENSG00000143226.15	ENST00000467525	ENST00000467525.5	FCGR2A	protein_coding
URS00001A10BC_GR_chr1_161523885_161523913_29_-	1.421855146017315	0.003509259327008536	0.01667656665774373	NA	NA	NA	piRNA	CDS	ENSG00000279123	ENSG00000279123.1	ENST00000623856	ENST00000623856.1	AC027281.1	TEC
URS00001A10BC_GR_chr1_161523885_161523913_29_-	1.421855146017315	0.003509259327008536	0.01667656665774373	NA	NA	NA	piRNA	CDS	ENSG00000143226	ENSG00000143226.15	ENST00000467525	ENST00000467525.5	FCGR2A	protein_coding
URS00001A10BC_GR_chr1_161523885_161523913_29_-	1.421855146017315	0.003509259327008536	0.01667656665774373	NA	NA	NA	piRNA	UTR3	ENSG00000143226	ENSG00000143226.15	ENST00000467525	ENST00000467525.5	FCGR2A	protein_coding
URS000016F8FA_GR_chr1_161523885_161523914_30_-	1.3926434149719586	0.003923233201635784	0.017905655091945725	NA	NA	NA	piRNA	CDS	ENSG00000279123	ENSG00000279123.1	ENST00000623856	ENST00000623856.1	AC027281.1	TEC
URS000016F8FA_GR_chr1_161523885_161523914_30_-	1.3926434149719586	0.003923233201635784	0.017905655091945725	NA	NA	NA	piRNA	CDS	ENSG00000143226	ENSG00000143226.15	ENST00000467525	ENST00000467525.5	FCGR2A	protein_coding
URS000016F8FA_GR_chr1_161523885_161523914_30_-	1.3926434149719586	0.003923233201635784	0.017905655091945725	NA	NA	NA	piRNA	UTR3	ENSG00000143226	ENSG00000143226.15	ENST00000467525	ENST00000467525.5	FCGR2A	protein_coding
URS00005B0D1D_GR_chr11_109603197_109603222_26_+	-1.0176578728999648	0.014385073484360982	0.043722920856264225	NA	NA	NA	piRNA	CDS	ENSG00000138606	ENSG00000138606.19	ENST00000290894	ENST00000290894.12	SHF	protein_coding
URS00005B0D1D_GR_chr11_109603197_109603222_26_+	-1.0176578728999648	0.014385073484360982	0.043722920856264225	NA	NA	NA	piRNA	UTR5	ENSG00000138606	ENSG00000138606.19	ENST00000290894	ENST00000290894.12	SHF	protein_coding
URS000012F7C1_GR_chr1_146035693_146035720_28_+	1.2632136523851512	0.02241219768496629	0.058477395541945275	NA	NA	NA	piRNA	CDS	ENSG00000283696	ENSG00000283696.1	ENST00000636161	ENST00000636161.1	AL592295.4	lncRNA
