smallRNA	logFC_Tumour_Normal_FC	logFC_Tumour_Normal_salmon	adj.P.Val_Tumour_Normal_FC	adj.P.Val_Tumour_Normal_salmon	file	transcript_id	exon_rank	Target_gene_name	gene_type
hsa_piR_008114_DQ581033	-2.4677500852617804	-2.539924005805176	5.468989045269177e-5	6.129129807420033e-4	NA	NA	NA	NA	NA
hsa_piR_019224_DQ596390	-2.2641526589770624	-2.286645019378601	2.459783320688689e-4	0.004280409788744808	NA	NA	NA	NA	NA
hsa_piR_016963_DQ593398	-2.2413011455488694	-2.1284813662711386	2.7805049118246786e-4	0.007189547935453724	NA	NA	NA	NA	NA
hsa_piR_015026_DQ590548	1.9270478242139735	NA	4.760165896360579e-4	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
hsa_piR_020582_DQ598312	2.3689568902828606	NA	0.0012408509252591056	NA	UTR3	ENST00000610854.2	ENSE00003731174.2	NEFL	protein_coding
hsa_piR_020582_DQ598312	2.3689568902828606	NA	0.0012408509252591056	NA	UTR3	ENST00000639464.1	ENSE00003802965.1	NEFL	protein_coding
hsa_piR_018849_DQ595899	1.629325913779434	1.5698870466806802	0.0012429037098515621	0.004337899340865285	NA	NA	NA	NA	NA
URS0000068EE0_GR_chr5_181188458_181188488_31_-	2.1766527228864403	NA	0.0014365025686070272	NA	NA	NA	NA	NA	NA
hsa_piR_020829_DQ598677	2.162970719393049	NA	0.001446594133179633	NA	NA	NA	NA	NA	NA
hsa_piR_000441_DQ570540	1.806289406051142	1.9779308021397277	0.0031696858055540846	0.006719909886374103	NA	NA	NA	NA	NA
URS0000303544_GR_chr1_161523884_161523914_31_-	1.4182987111223442	NA	0.005854011078422345	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
URS00000AE0C5_GR_chr10_96692723_96692751_29_+	2.9860826628325836	NA	0.005884481671632551	NA	NA	NA	NA	NA	NA
hsa_piR_017723_DQ594464	1.4447378620108235	NA	0.007172567844939626	NA	NA	NA	NA	NA	NA
hsa_piR_018570_DQ595536	1.3532332234332314	NA	0.007391842325297836	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
hsa_piR_017724_DQ594465	1.4736517516858914	NA	0.007553675205360746	NA	NA	NA	NA	NA	NA
URS00001A10BC_GR_chr1_161523885_161523913_29_-	1.401131096563296	NA	0.008420870309412283	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
hsa_piR_016984_DQ593431	1.6795823592260528	1.5934690536977447	0.008420870309412283	0.022033256675654037	NA	NA	NA	NA	NA
hsa_piR_020009_DQ597484	1.2987276379037285	NA	0.008435616344043474	NA	NA	NA	NA	NA	NA
URS00000D410C_GR_chr7_145997391_145997416_26_+	1.2947992764446878	NA	0.008542303148940878	NA	NA	NA	NA	NA	NA
hsa_piR_001312_DQ571813	1.3841694551547041	NA	0.008787030365620212	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
URS000016F8FA_GR_chr1_161523885_161523914_30_-	1.3704169847253915	NA	0.00898704958381104	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
URS00004EB1FA_GR_chr7_145997391_145997421_31_+	1.2772424888007041	1.2102783752796062	0.009099578860082398	0.013689507524061542	NA	NA	NA	NA	NA
hsa_piR_018569_DQ595533	1.350557425068883	NA	0.00950498325470633	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
hsa_piR_020499_DQ598183	2.5518745762071013	2.7200824476938923	0.009656784943945798	0.09462403796630331	NA	NA	NA	NA	NA
hsa_piR_001159_DQ571511	1.4484518748279356	1.4490089087228895	0.00972013218417691	0.022702595242638037	NA	NA	NA	NA	NA
URS00005372AE_GR_chr17_38867645_38867673_29_+	2.5344912291278643	NA	0.011757300266742696	NA	NA	NA	NA	NA	NA
URS00005E4552_GR_chr17_38867645_38867672_28_+	1.812310498812319	NA	0.01264799425158896	NA	NA	NA	NA	NA	NA
URS00004DCDD7_GR_chr11_66348120_66348151_32_+	1.1685406115185457	NA	0.01400665167104192	NA	NA	NA	NA	NA	NA
URS00000173B3_GR_chr11_66348120_66348150_31_+	1.1679820222518993	NA	0.014014421971324223	NA	NA	NA	NA	NA	NA
hsa_piR_020496_DQ598175	1.6935809794441734	NA	0.014990353760559426	NA	NA	NA	NA	NA	NA
hsa_piR_020391_DQ598016	3.678787488836288	NA	0.015866897124419677	NA	UTR3	ENST00000541682.7	ENSE00002236422.2	HES7	protein_coding
URS00004B251C_GR_chr11_66348120_66348149_30_+	1.1374056041813414	NA	0.016152385364227168	NA	NA	NA	NA	NA	NA
URS00005B0D1D_GR_chr11_109603197_109603222_26_+	-1.08338623848348	NA	0.02028817225482077	NA	UTR5	ENST00000290894.12	ENSE00001525915.1	SHF	protein_coding
URS00005A619D_GR_chr11_109603197_109603223_27_+	-1.0671251938269886	NA	0.02180466282288742	NA	NA	NA	NA	NA	NA
hsa_piR_016659_DQ592932	1.0262940779286769	2.327872861428065	0.024433949566628817	0.0023762961382143323	NA	NA	NA	NA	NA
URS00003DC32E_GR_chr2_233275727_233275755_29_+	1.2979559843901516	1.356874438320725	0.027340527855428412	0.024956035843117567	NA	NA	NA	NA	NA
URS0000315291_GR_chr11_109603197_109603224_28_+	-1.001333415382561	NA	0.029264036840721187	NA	NA	NA	NA	NA	NA
hsa_piR_008488_DQ581533	1.0178289278301897	0.9572501720047542	0.03182535805980942	0.2151984023930976	UTR3	ENST00000454967.1	ENSE00001662349.1	SAMD13	protein_coding
hsa_piR_001311_DQ571812	1.1016498323088397	NA	0.03443643462150533	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
URS000012F7C1_GR_chr1_146035693_146035720_28_+	1.2576928705775792	NA	0.03531419584272937	NA	NA	NA	NA	NA	NA
hsa_piR_015254_DQ590835	1.2635280779097204	NA	0.03622485865608123	NA	NA	NA	NA	NA	NA
hsa_piR_021032_DQ598918	0.7768445395581374	NA	0.037759544494921235	NA	NA	NA	NA	NA	NA
hsa_piR_000765_DQ570956	1.1162196049805004	NA	0.04845974735623246	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
hsa_piR_020326_DQ597916	1.114602443900253	NA	0.04877721886321151	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
hsa_piR_019825_DQ597218	0.9221039243719695	NA	0.05630536639928869	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
URS0000009A89_GR_chr1_16545983_16546010_28_-	0.8832174622639872	NA	0.058222287417536184	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
URS000014D7B3_GR_chr17_76561160_76561186_27_+	-1.0776346111646187	NA	0.05888172544172062	NA	NA	NA	NA	NA	NA
hsa_piR_016658_DQ592931	0.8196271356527958	0.4745416887463696	0.061624256872262945	0.23985219033188124	NA	NA	NA	NA	NA
hsa_piR_018780_DQ595807	-1.0812019684676102	-0.9219669256107883	0.06471215749563472	0.11273659928161009	NA	NA	NA	NA	NA
hsa_piR_020541_DQ598252	1.1399529185600277	NA	0.07451214908678622	NA	NA	NA	NA	NA	NA
hsa_piR_001168_DQ571524	0.7598079978606624	0.3980497541314303	0.07532292679717371	0.5597935088724464	NA	NA	NA	NA	NA
URS00004E6E4D_GR_chr17_8226661_8226691_31_-	0.6333013900013347	0.4030945253783633	0.0858497383368306	0.2606400457918136	NA	NA	NA	NA	NA
URS0000086DBC_GR_chr1_30968168_30968195_28_-	-0.9689341790632553	NA	0.0899238588790258	NA	NA	NA	NA	NA	NA
hsa_piR_009295_DQ582567	0.8234667226466397	NA	0.09108036646062463	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
hsa_piR_020500_DQ598190	0.7765010065578843	NA	0.1005929883857681	NA	NA	NA	NA	NA	NA
URS00001B460B_GR_chr6_28607156_28607186_31_+	0.7730568819761539	NA	0.10180891453203968	NA	NA	NA	NA	NA	NA
URS000042B8BF_GR_chr6_28607156_28607185_30_+	0.7733705022397575	NA	0.10216087067940288	NA	NA	NA	NA	NA	NA
hsa_piR_017458_DQ594126	-0.9273833043354305	NA	0.10342982946521788	NA	NA	NA	NA	NA	NA
hsa_piR_008113_DQ581032	-0.6064141085097319	0.21838808595761705	0.1139910163667991	0.7130088996152668	NA	NA	NA	NA	NA
hsa_piR_015249_DQ590830	0.5824747063790561	NA	0.11437712678853579	NA	NA	NA	NA	NA	NA
hsa_piR_020364_DQ597971	1.1786822081091306	NA	0.11708084448163501	NA	UTR3	ENST00000587424.2	ENSE00002942501.2	SRSF8	protein_coding
URS000039F481_GR_chr1_16545980_16546006_27_-	0.7503635247093512	NA	0.12150442401006387	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
hsa_piR_020365_DQ597975	-0.556946452755654	-1.492346415769938	0.19900693637773617	0.008166205701489638	NA	NA	NA	NA	NA
hsa_piR_001346_DQ571858	0.6086142882319927	0.7287882495864135	0.2015029082692449	0.15559362192972567	NA	NA	NA	NA	NA
hsa_piR_009294_DQ582566	0.4161302675180467	0.23153273960004306	0.2066812612289967	0.4816121491351257	NA	NA	NA	NA	NA
hsa_piR_017716_DQ594453	0.8152667002569429	NA	0.2471891610572679	NA	NA	NA	NA	NA	NA
hsa_piR_001356_DQ571873	0.6095483099775854	NA	0.26263068363530623	NA	NA	NA	NA	NA	NA
URS00005C8991_GR_chr3_155661093_155661123_31_+	0.7896410322945964	NA	0.29175115049491546	NA	NA	NA	NA	NA	NA
URS00000C0E02_GR_chr11_85483985_85484011_27_+	-0.41361496537405307	NA	0.29533289964555876	NA	NA	NA	NA	NA	NA
hsa_piR_020668_DQ598445	-0.4120362818512051	NA	0.29552012746119716	NA	NA	NA	NA	NA	NA
hsa_piR_004153_DQ575660	0.7821689593243202	NA	0.29552012746119716	NA	NA	NA	NA	NA	NA
hsa_piR_012753_DQ587269	-0.4950711997824353	-1.3711341873604108	0.30214876638344523	0.1636465753903288	NA	NA	NA	NA	NA
hsa_piR_001042_DQ571335	0.582729326726982	0.7550820707340287	0.3050268119861591	0.18821222774661883	NA	NA	NA	NA	NA
hsa_piR_016677_DQ592953	0.8068589959224264	NA	0.31046085624668807	NA	NA	NA	NA	NA	NA
hsa_piR_020490_DQ598167	-0.36687452240746987	NA	0.31312272762043997	NA	NA	NA	NA	NA	NA
URS0000441811_GR_chr21_8210896_8210927_32_+	-0.3962769020734469	-0.08905990740886116	0.3136195912508143	0.8989837862773198	NA	NA	NA	NA	NA
URS000049DAFB_GR_chr21_8210893_8210923_31_+	-0.4488454350652553	-0.553980440293464	0.31691305695942323	0.381166181645097	NA	NA	NA	NA	NA
URS00004949A9_GR_chr21_8215846_8215876_31_+	-0.34667139021555027	-0.4357499179222364	0.3319095584773874	0.21785278580064743	NA	NA	NA	NA	NA
URS00003F0F42_GR_chr21_8210897_8210926_30_+	-0.40653681897102034	-0.9512080243007066	0.3767793152205965	0.10874497523003572	NA	NA	NA	NA	NA
URS0000336885_GR_chr20_29298646_29298674_29_-	-0.3897853855419	-0.054733732679247304	0.4402268957828426	0.9550333688284494	NA	NA	NA	NA	NA
hsa_piR_017936_DQ594740	-0.2893818534445929	-0.7988176304396171	0.48154723551197975	0.174909182811233	NA	NA	NA	NA	NA
hsa_piR_008112_DQ581031	-0.2409928668719914	-0.6269548077954639	0.5096265489327058	0.10249368594459601	NA	NA	NA	NA	NA
hsa_piR_004987_DQ576872	-0.2689054918680238	-1.1637076958287285	0.5255976786448695	0.03747776700909191	NA	NA	NA	NA	NA
hsa_piR_005019_DQ576918	0.3933013743294862	NA	0.5312559590725958	NA	NA	NA	NA	NA	NA
URS000025C8A1_GR_chr2_27050845_27050871_27_+	0.3917403110146296	-0.7636426845692279	0.5331602585087938	0.15559362192972567	NA	NA	NA	NA	NA
hsa_piR_017184_DQ593752	0.34531811877360497	0.5900971834015696	0.5594011420038064	0.2716590599151645	NA	NA	NA	NA	NA
URS000058975E_GR_chr20_49100429_49100455_27_+	0.29102248926521446	NA	0.6379525703675466	NA	UTR3	ENST00000371477.4	ENSE00001948716.2	CDC5L	protein_coding
hsa_piR_020450_DQ598104	-0.17595166585622568	-0.03816756151224254	0.6431181117554893	0.91267009956449	NA	NA	NA	NA	NA
hsa_piR_016735_DQ593039	-0.18766676839855112	0.02552351175987333	0.6503550992262793	0.957923411285836	NA	NA	NA	NA	NA
hsa_piR_020813_DQ598646	-0.2376886672155547	-0.0812900569509063	0.6563629855077231	0.8846423513230667	NA	NA	NA	NA	NA
URS0000450D8E_GR_chr9_131485722_131485750_29_+	-0.14493844197486405	NA	0.710426535038208	NA	NA	NA	NA	NA	NA
hsa_piR_009228_DQ582496	-0.1821462895517767	NA	0.7382313190089242	NA	NA	NA	NA	NA	NA
URS000009C1FC_GR_chr6_26575631_26575660_30_+	0.15047444062758197	-0.27867408067650734	0.7907067562624638	0.6655865622479765	NA	NA	NA	NA	NA
