smallRNA	logFC_Tumour_Normal_FC	P.Value_Tumour_Normal_FC	adj.P.Val_Tumour_Normal_FC	logFC_Tumour_Normal_salmon	P.Value_Tumour_Normal_salmon	adj.P.Val_Tumour_Normal_salmon	gene_type
URS000009262D_GR_chr17_59841311_59841331_21_+	2.857233240168771	7.845616635842222e-9	1.0452560164067073e-5	NA	NA	NA	miRNA
URS0000EFD981_GR_chr7_129774927_129774987_61_-	2.673317092951402	1.957878958366887e-8	1.0452560164067073e-5	NA	NA	NA	precursor_RNA
URS000075E13C_GR_chr7_129774966_129774987_22_-	2.690915499681113	1.9985774692288857e-8	1.0452560164067073e-5	NA	NA	NA	miRNA
URS0000EFD807_GR_chr7_129774926_129774988_63_-	2.4504221013630065	1.1389902286291797e-7	4.467689171797957e-5	2.370921523212525	6.860123438732918e-7	4.4181003053084657e-4	precursor_RNA
URS00000EEF5F_GR_chr10_103394341_103394361_21_-	3.3609993752853957	1.6583729424354771e-07	5.1167961476151415e-5	NA	NA	NA	miRNA
URS0000D4FD8F_GR_chr10_103394339_103394361_23_-	3.2309462906061643	1.9567098078834194e-7	5.1167961476151415e-5	NA	NA	NA	miRNA
URS00002620A7_GR_chr17_58331245_58331267_23_-	2.590736825561737	4.218514472331354e-7	5.468989045269177e-5	2.9946406414324613	1.8637025328192781e-6	4.4181003053084657e-4	miRNA
URS0000EFD44E_GR_chr17_58331244_58331303_60_-	2.5810171746628843	4.5425856209655124e-7	5.468989045269177e-5	NA	NA	NA	precursor_RNA
URS0000EFD752_GR_chr17_58331242_58331305_64_-	2.550973148993001	5.326081788261705e-7	5.468989045269177e-5	1.813849980714556	4.5907927479191e-5	0.0012882912148847975	precursor_RNA
URS000075AE07_GR_chr17_58331232_58331318_87_-	2.5423178206407275	5.61388195877722e-7	5.468989045269177e-5	NA	NA	NA	precursor_RNA
URS0000617EF6_GR_chr17_58331245_58331266_22_-	2.4939695169024736	5.868917550587143e-7	5.468989045269177e-5	1.8515951354120732	4.766852312325859e-5	0.0012966702434685012	miRNA
URS0000EFD9C0_GR_chr9_70809992_70810052_61_-	-3.4021773004579723	6.566093870063646e-7	5.468989045269177e-5	-3.5701604874897908	8.234144573223486e-6	6.161884855628908e-4	precursor_RNA
URS000069AA59_GR_chr14_100874490_100874585_96_+	-2.5894593267433756	7.313052373446678e-7	5.468989045269177e-5	NA	NA	NA	precursor_RNA
URS000075CFEA_GR_chr14_100874493_100874585_93_+	-2.5894593267433756	7.313052373446678e-7	5.468989045269177e-5	-2.1134003410688944	6.260357338907495e-4	0.00448774564239441	precursor_RNA
URS0000564D66_GR_chr14_100874553_100874574_22_+	-2.5932217844244905	7.391529396501929e-7	5.468989045269177e-5	-2.7026248894704086	1.9247277620292155e-6	4.4181003053084657e-4	miRNA
URS0000EFEDB5_GR_chr14_100874514_100874574_61_+	-2.585453166051651	7.564458507254647e-7	5.468989045269177e-5	NA	NA	NA	precursor_RNA
