smallRNA	logFC	logCPM	F	PValue	FDR
URS00006F4D3F_GR_chr13_39857135_39857227_93_-	7.3932066501252445	5.395477091939297	480.19620796826626	3.634555244502884e-5	0.01407883218983005
URS00008205D0_GR_chr13_39857141_39857227_87_-	7.3932066501252445	5.395477091939297	480.19620796826626	3.634555244502884e-5	0.01407883218983005
URS00006F7AB2_GR_chr8_41426655_41426727_73_+	6.424814551632839	5.157833540806237	434.38608267884297	4.3976332568379615e-5	0.01407883218983005
URS0000660494_GR_chr4_26702309_26702388_80_+	5.539551140918448	3.972236431545048	389.13323701203456	5.4195971267694e-5	0.01407883218983005
URS000049DAFB_GR_chr21_8210893_8210923_31_+	3.937073631115823	10.634846823954824	386.4055555508641	5.4924600935087625e-5	0.01407883218983005
URS000075B3BD_GR_chrX_109054542_109054590_49_+	5.703798247162862	12.843842644891712	331.18078207466334	9.282512317904118e-5	0.01407883218983005
URS00006A1C0B_GR_chr15_25062333_25062427_95_+	5.322763505258555	5.3052051553288	260.6350394117489	1.1583282239409636e-4	0.01407883218983005
URS0000691595_GR_chr11_93731502_93731574_73_-	5.635350116608697	4.425184699823134	264.7714670338597	1.1689616565759993e-4	0.01407883218983005
URS0000066733_GR_chr11_93731503_93731573_71_-	5.635350116608697	4.425184699823134	264.7714670338597	1.1689616565759993e-4	0.01407883218983005
URS000075D440_GR_chr15_25062332_25062428_97_+	5.307658778924355	5.309674256223795	251.09988156532253	1.2465479381248659e-4	0.01407883218983005
URS000075A7D1_GR_chr21_41746772_41746841_70_-	4.664764241929955	4.127803280201416	233.75096211946692	1.422916334668374e-4	0.01407883218983005
URS000075A9AB_GR_chr15_25106520_25106604_85_+	5.777284785696305	6.350303685698272	238.13627338145858	1.5762300922930346e-4	0.01407883218983005
URS000022BCB9_GR_chr15_25106521_25106603_83_+	5.777284785696305	6.350303685698272	238.13627338145858	1.5762300922930346e-4	0.01407883218983005
hsa_piR_000578_DQ570720	7.134529489534182	4.553719160509211	235.3680182748849	1.5911458518994568e-4	0.01407883218983005
URS000051BA34_GR_chr1_16514123_16514171_49_-	4.166130515604493	10.950354188636384	228.15935779965432	1.8366359420936865e-4	0.01407883218983005
URS0000514CEC_GR_chr21_8258710_8258726_17_+	7.532713491204217	4.401462542378738	212.55806060976298	2.072418954404454e-4	0.01407883218983005
hsa_piR_006613_DQ579049	8.194759724053311	6.089637856928458	208.26920997735158	2.169527825807748e-4	0.01407883218983005
URS000044BAE3_GR_chr1_146038044_146038115_72_+	1.7780763706783356	13.828753890700463	179.84907402406864	2.332178586323539e-4	0.01407883218983005
URS00008295AD_GR_chr1_75787889_75787971_83_+	3.8668346351807417	7.665430564368785	179.0085583639454	2.51869551774808e-4	0.01407883218983005
URS00000A3335_GR_chr1_75787889_75787972_84_+	3.86656048406101	7.666314311583307	178.86891054482996	2.5223537355391714e-4	0.01407883218983005
URS000030FCF9_GR_chr15_25088804_25088895_92_+	3.876471389880808	3.9629844097964053	169.34383780050985	2.717142436195083e-4	0.01407883218983005
URS000075AF3E_GR_chr15_25088803_25088896_94_+	3.8808433112327174	3.9658829693061044	169.1865963229799	2.721857756003412e-4	0.01407883218983005
URS00001CF899_GR_chr1_28648600_28648664_65_+	5.907470240444369	4.126107047266251	177.13988702483653	2.893589463376283e-4	0.01407883218983005
hsa_piR_008488_DQ581533	4.002626011267652	10.137985036094653	173.22857477185588	3.0351054940445195e-4	0.01407883218983005
URS000005BADB_GR_chr18_49491283_49491347_65_-	4.468217352815727	5.079471824481773	155.35306955712804	3.277213453579785e-4	0.01407883218983005
URS0000559F9B_GR_chr15_65296133_65296167_35_+	6.662625296331375	7.104429671068538	163.98709594412267	3.3533670477779026e-4	0.01407883218983005
URS0000441811_GR_chr21_8210896_8210927_32_+	2.9982608565532898	9.725499751874015	151.10037254007742	3.450311103110588e-4	0.01407883218983005
URS00006C9042_GR_chr15_25051477_25051571_95_+	3.671348220997457	7.343241041346093	142.98748152198962	4.0343420326505094e-4	0.01407883218983005
URS000075CFA5_GR_chr15_25051476_25051572_97_+	3.6711698038283544	7.343298534273155	142.8847996072124	4.039660826740268e-4	0.01407883218983005
URS000071A62C_GR_chr15_25070432_25070526_95_+	3.660766231732451	7.333067610200339	142.8784929437595	4.03998785449788e-4	0.01407883218983005
URS000070C400_GR_chr15_25054210_25054304_95_+	3.5528183456480495	7.193525704540019	142.79137541789066	4.0445094324092275e-4	0.01407883218983005
URS000075EAB9_GR_chr15_25070431_25070527_97_+	3.66031494130421	7.333148203608631	142.67443238392758	4.0505912283832256e-4	0.01407883218983005
URS000075D26F_GR_chr12_48654444_48654530_87_-	4.3001184617080055	5.128401787210937	142.3297971422295	4.0685963063598823e-4	0.01407883218983005
URS00006B0B83_GR_chr15_25065026_25065121_96_+	3.541988062808205	7.183287663271565	141.91614675603546	4.090369575210543e-4	0.01407883218983005
URS000075D5DD_GR_chr15_25065025_25065122_98_+	3.5415176873512486	7.1833773145112945	141.67411847551435	4.103192175746937e-4	0.01407883218983005
URS000075D5DD_GR_chr15_25054209_25054305_97_+	3.546512625451266	7.1969431499026575	140.7817355786507	4.1510071542843113e-4	0.01407883218983005
URS000075E49E_GR_chr15_25059537_25059634_98_+	3.2354870501904522	5.153851237082547	130.3549327118448	4.2645377607033845e-4	0.01407883218983005
URS0000632CF2_GR_chr15_25059538_25059633_96_+	3.2354870501904522	5.153851237082547	130.3549327118448	4.2645377607033845e-4	0.01407883218983005
URS0000700FD3_GR_chr15_25056860_25056954_95_+	3.6918050644287845	8.346562355709265	134.54166112097164	4.5106067413600096e-4	0.01407883218983005
URS000075E9CA_GR_chr15_25101574_25101667_94_+	4.944947968030217	4.965929921626434	138.85946699408552	4.5162685328038765e-4	0.01407883218983005
URS00006B25F2_GR_chr15_25101575_25101666_92_+	4.944947968030217	4.965929921626434	138.85946699408552	4.5162685328038765e-4	0.01407883218983005
URS000075E4E2_GR_chr15_25056859_25056955_97_+	3.691381453634044	8.346662022661866	134.3402768178416	4.52299898761407e-4	0.01407883218983005
URS000079C56D_GR_chr20_62064802_62064885_84_+	7.307654627364699	3.416233251061257	138.27480283407388	4.5699662673731183e-4	0.01407883218983005
URS0000416117_GR_chr16_3184131_3184204_74_-	-2.4535045773789204	7.436548641093076	123.84602074753629	4.692639334424866e-4	0.01407883218983005
URS00004D4536_GR_chr16_3184131_3184202_72_-	-2.420746206733977	7.39640559352947	122.65736480707929	4.777862030105676e-4	0.01407883218983005
URS000075CB76_GR_chr14_45110875_45110973_99_+	3.9940962056343574	4.547371962457267	128.6602713626466	4.895225684426129e-4	0.01407883218983005
URS000072E179_GR_chr14_45110883_45110968_86_+	3.9940962056343574	4.547371962457267	128.6602713626466	4.895225684426129e-4	0.01407883218983005
URS00002D40C8_GR_chr14_20684016_20684087_72_+	-2.725222983372602	10.098988960812518	125.03995264556522	5.157579614322365e-4	0.01407883218983005
URS0000521091_GR_chr16_3184135_3184206_72_-	-2.9307564510783553	6.8421741601099075	117.97375466266257	5.32852484971128e-4	0.01407883218983005
URS0000D52200_GR_chrX_151958628_151958651_24_-	-2.2013298954925604	6.825167193434992	115.0262801504018	5.38573693874744e-4	0.01407883218983005
URS0000D55DFB_GR_chrX_151958628_151958652_25_-	-2.2013298954925604	6.825167193434992	115.0262801504018	5.38573693874744e-4	0.01407883218983005
URS00007082D4_GR_chr1_143789868_143789941_74_-	-3.045304001750388	3.375521017043388	112.58635639261401	5.605134436496738e-4	0.01407883218983005
URS000075A82F_GR_chr15_25097662_25097755_94_+	4.509107921468096	4.4495697150940945	122.36806431616752	5.700943631441855e-4	0.01407883218983005
